alpha,T_H_rtm,S_max_rtm,I_vault
3.4545454545454546,0.1374519963066369,1.8188167994467224,5.247995953694645
3.484848484848485,0.13865771557248457,1.8030010011906639,5.202361206271214
3.515151515151515,0.13986343483833227,1.787457889111434,5.157513264837841
3.5454545454545454,0.14106915410417997,1.7721804712557807,5.113431954881962
3.5757575757575757,0.14227487337002764,1.7571619926858166,5.070097785772793
3.606060606060606,0.14348059263587534,1.7423959255203896,5.027491922026804
3.6363636363636362,0.14468631190172304,1.7278759594743862,4.985596156009914
3.666666666666667,0.14589203116757074,1.7135959928671598,4.944392881993302
3.6969696969696972,0.14709775043341844,1.6995501240731667,4.903865071485161
3.7272727272727275,0.14830346969926614,1.685732643389645,4.863996249765768
3.757575757575758,0.1495091889651138,1.672138025297793,4.82477047355798
