t_ms,L_mm,F_nN,J_pNs
0.6080402010050251,0.9911084813602723,6.367788968539246e-08,3.590512582057792e-08
0.6130653266331658,0.9912095284991438,6.613119273562536e-08,3.623744337201322e-08
0.6180904522613065,0.9913143540624412,6.85178201909892e-08,3.658175402623929e-08
0.6231155778894473,0.9914228535577632,7.083538762809482e-08,3.6937710747988514e-08
0.628140703517588,0.9915349188304534,7.308158251338188e-08,3.730495488122159e-08
0.6331658291457286,0.9916504381714107,7.525416651633579e-08,3.76831165220072e-08
0.6381909547738694,0.9917692964284438,7.73509777362102e-08,3.8071814902591174e-08
0.6432160804020101,0.9918913751210574,7.936993283965726e-08,3.847065878620754e-08
0.6482412060301508,0.9920165525585556,8.13090291084748e-08,3.887924687217977e-08
0.6532663316582915,0.9921447039613466,8.316634639465616e-08,3.9297168210846384e-08
0.6582914572864322,0.9922757015853247,8.494004898131657e-08,3.972400262783793e-08
0.6633165829145728,0.9924094148492097,8.662838734757732e-08,4.015932115722274e-08
0.6683417085427136,0.9925457104647121,8.822969983624736e-08,4.0602686483033034e-08
0.6733668341708544,0.9926844525693984,8.974241422278391e-08,4.105365338867516e-08
0.678391959798995,0.992825502862121,9.116504918456257e-08,4.151176921372321e-08
0.6834170854271358,0.9929687207408812,9.24962156689837e-08,4.197657431758745e-08
0.6884422110552764,0.9931139634429822,9.373461815983499e-08,4.2447602549546416e-08
0.6934673366834172,0.9932610861873401,9.48790558415868e-08,4.2924381724629765e-08
0.6984924623115578,0.993409942318804,9.592842365926297e-08,4.340643410482707e-08
0.7035175879396985,0.9935603834543442,9.688171327602351e-08,4.389327688510859e-08
0.7085427135678392,0.9937122596309655,9.773801392570298e-08,4.438442268373021e-08
0.71356783919598,0.9938654194551919,9.849651316120357e-08,4.487938003629908e-08
0.7185929648241206,0.9940197102539801,9.915649749898137e-08,4.537765389307787e-08
0.7236180904522613,0.9941749782269059,9.97173529585772e-08,4.587874611900037e-08
0.7286432160804021,0.9943310685994776,1.0017856549832657e-07,4.638215599587638e-08
0.7336683417085428,0.994487825777417,1.0053972134701765e-07,4.6887380726263403e-08
0.7386934673366835,0.9946450935017599,1.0080050723226079e-07,4.739391593848582e-08
0.7437185929648241,0.9948027150046188,1.0096071050523813e-07,4.7901256192280994e-08
0.7487437185929648,0.9949605331654515,1.0102021916380753e-07,4.840889548456143e-08
0.7537688442211056,0.9951183906676833,1.0097902177365123e-07,4.8916327754780783e-08
0.7587939698492463,0.9952761301555224,1.0083720728876302e-07,4.942304738939768e-08
0.7638190954773869,0.9954335943908178,1.0059496477166496e-07,4.9928549724933686e-08
0.7688442211055276,0.9955906264097947,1.0025258301513124e-07,5.043233154913032e-08
0.7738693467336684,0.9957470696795214,9.981045006670127e-08,5.093389159971676e-08
0.7788944723618091,0.9959027682539445,9.926905265586761e-08,5.143273106029901e-08
0.7839195979899498,0.996057566929339,9.862897552651467e-08,5.192835405289456e-08
0.7889447236180904,0.9962113113990189,9.789090067549962e-08,5.24202681266408e-08
0.7939698492462313,0.996363848407153,9.705560649914592e-08,5.2907984742214395e-08
0.7989949748743719,0.9965150259015345,9.612396684856329e-08,5.3391019751503666e-08
0.8040201005025126,0.9966646931851488,9.50969499963399e-08,5.386889387208829e-08
0.8090452261306533,0.996812701066393,9.397561751525006e-08,5.434113315608451e-08
0.814070351758794,0.9969589020077925,9.276112307076133e-08,5.4807269452922525e-08
0.8190954773869347,0.997103150273069,9.145471113061161e-08,5.526684086563916e-08
0.8241206030150754,0.9972453020724145,9.005771559184066e-08,5.571939220027153e-08
0.8291457286432162,0.9973852157058245,8.85715583265903e-08,5.616447540794284e-08
0.8341708542713568,0.9975227517043459,8.69977476504996e-08,5.660165001925188e-08
0.8391959798994976,0.9976577729691046,8.533787671463206e-08,5.703048357058168e-08
0.8442211055276382,0.9977901449079672,8.359362182251436e-08,5.745055202195111e-08
0.849246231155779,0.9979197355697066,8.176674067498833e-08,5.786144016604652e-08
0.8542713567839196,0.9980464157755325,7.985907054482953e-08,5.8262742028080844e-08
0.8592964824120604,0.9981700592478612,7.787252638289186e-08,5.865406125613558e-08
0.864321608040201,0.9982905427361902,7.580909885837775e-08,5.9035011501655064e-08
0.8693467336683418,0.9984077461399582,7.367085233508262e-08,5.940521678977105e-08
0.8743718592964824,0.9985215526282633,7.145992278561065e-08,5.976431187914599e-08
0.8793969849246231,0.998631848756323,6.917851564618832e-08,6.011194261103638e-08
0.8844221105527639,0.9987385245785584,6.682890361374411e-08,6.044776624728634e-08
0.8894472361809046,0.9988414737581899,6.441342438782821e-08,6.077145179697393e-08
0.8944723618090453,0.9989405936732361,6.193447835960882e-08,6.108268033144432e-08
0.8994974874371859,0.9990357855188098,5.939452625012194e-08,6.138114528747508e-08
0.9045226130653267,0.9991269544056098,5.679608669919914e-08,6.166655275832533e-08
0.9095477386934674,0.9992140094545069,5.41417338083748e-08,6.193862177243777e-08
0.9145728643216081,0.9992968638871346,5.143409464032428e-08,6.219708455957507e-08
0.9195979899497487,0.999375435112393,4.8675846675323185e-08,6.244168680417468e-08
0.9246231155778895,0.999449644808776,4.586971522820443e-08,6.267218788572345e-08
0.9296482412060302,0.9995194190024442,4.3018470828266277e-08,6.288836110596599e-08
0.9346733668341709,0.9995846881409639,4.01249265637739e-08,6.308999390276889e-08
0.9396984924623116,0.9996453871626387,3.7191935392923155e-08,6.327688805047202e-08
0.9447236180904522,0.9997014555613634,3.4222387424606825e-08,6.344885984657557e-08
0.9497487437185931,0.9997528374469389,3.12192071705512e-08,6.360574028461853e-08
0.9547738693467337,0.9997994816007842,2.8185350770555523e-08,6.374737521311379e-08
0.9597989949748744,0.9998413415269927,2.5123803193907766e-08,6.387362548041985e-08
0.9648241206030151,0.9998783754986789,2.203757541932189e-08,6.398436706544157e-08
0.9698492462311559,0.999910546599575,1.8929701594326354e-08,6.407949119405629e-08
0.9748743718592965,0.9999378227608275,1.580323617741956e-08,6.415890444117898e-08
0.9798994974874373,0.9999601767929663,1.2661251065105105e-08,6.422252881839057e-08
0.9849246231155779,0.9999775864130056,9.506832705481284e-09,6.427030184706134e-08
0.9899497487437187,0.9999900342666576,6.3430792013492885e-09,6.430217661691737e-08
0.9949748743718595,0.9999975079456309,3.1730974037844304e-09,6.43181218300017e-08
1.0,1.0,1.5869402222236377e-09,6.432609640398272e-08
