class,alpha_true,alpha_estimated,r_squared
diffusive,2.1360168130828012,2.113848847470179,0.9984298684734908
diffusive,2.0008857703668896,2.008327093648231,0.9995219075966808
diffusive,1.9539693237425637,1.9965051221862404,0.9993563291815818
diffusive,1.9495871326348335,1.9337083300042572,0.9995562788512861
diffusive,1.9164875496027765,1.9421110208892784,0.9995429127982981
diffusive,1.9944147817347189,2.0547055299923307,0.9988145074981362
diffusive,2.008291185317204,2.0296692996576695,0.9988680718894858
diffusive,2.078907520139991,2.0485807755153775,0.9999264971623447
diffusive,2.0150602492844634,2.0350752804385923,0.9995073839259695
diffusive,2.113619137464254,2.134870692589191,0.999454335470699
diffusive,1.9510429352969327,2.003673219768854,0.9972625926955005
diffusive,2.041478446207924,1.9846721437284662,0.9998868069354728
diffusive,2.088525632086596,2.109014401372181,0.9998659144021956
diffusive,1.9265838133878985,1.9362913127168953,0.9992256249862835
diffusive,1.896403807139336,1.8904704941994661,0.9993562414113644
diffusive,1.9215836141640168,1.9416142862989731,0.9988886646588377
diffusive,2.0946577003573386,2.1275604324795214,0.9986370606309004
diffusive,1.9553356953185395,1.9751939071177897,0.9992292618291313
diffusive,2.0966956645344816,2.1170965838177955,0.9984322115401743
diffusive,1.9012953821063685,1.9293257407873656,0.9981351179194814
diffusive,1.8974780914262568,1.9442038203438865,0.9996651958447431
diffusive,2.0792711017733665,2.082428735033546,0.998842740382767
diffusive,2.094438522283539,2.0440343637844633,0.9995217290134342
diffusive,1.952003535728779,1.9366289826355734,0.9994043324694384
diffusive,2.0840606712783383,2.0549483235064914,0.9990977480837514
diffusive,2.0712481764433806,2.078644573902373,0.9990136364675216
diffusive,2.1284104695178896,2.138291502104359,0.9989554446113448
diffusive,2.035166235497406,2.056161390437088,0.9990459699903499
diffusive,2.030634753393202,2.032536282062752,0.9997003176466371
diffusive,2.0168651367610195,2.0453408612577406,0.9995992131769219
diffusive,2.0260766817483065,2.0355682618842517,0.9998480901411099
diffusive,1.9466995918173666,1.9421763749502392,0.9996490417489895
diffusive,1.9148819517552516,1.922940918128602,0.9990243704804149
diffusive,1.7837967700072561,1.7934708380151754,0.9995640277552253
diffusive,1.8448462579031872,1.8594844058489122,0.9994192781474126
diffusive,1.944472691198683,1.9636570731695104,0.9988986706172943
diffusive,2.0593539432293193,2.0942490045524993,0.9996325710734478
diffusive,1.8944675841407541,1.8689652733171287,0.998658540699416
diffusive,1.8637956629145243,1.8665838358688143,0.9989650490785489
diffusive,2.214829686378696,2.232325186897305,0.9998477551477754
diffusive,2.1214666780132903,2.1123947644234273,0.9995505130135501
diffusive,1.9790624386688087,1.9661530802734493,0.9991396619769682
diffusive,2.1137776780668665,2.0868734862384213,0.9997711153981284
diffusive,2.069281521030092,2.088567823857399,0.9995066107539898
diffusive,1.886436409524217,1.9091343804926235,0.9990622583166715
diffusive,1.9862258939612072,1.9899890876787385,0.9993459597068169
diffusive,2.0798566673110592,2.1246125194835344,0.9996172252835335
diffusive,2.032717055287779,2.046102378679528,0.9998180002222686
diffusive,1.94122620306801,1.9457953143720552,0.9993852470581881
diffusive,2.0146475611653316,2.0105011900244323,0.9995412035267129
diffusive,1.8119564455936918,1.8030808984215807,0.9989224547769959
diffusive,1.968960319624403,1.9895165355233957,0.999842834078972
diffusive,1.9544828216046235,1.9754413327905587,0.9998860335170576
diffusive,2.095593582233076,2.1249882444488604,0.9997256543178313
diffusive,2.0897655771649744,2.095716501983854,0.9994775357298696
diffusive,2.0685619374218485,2.0800102396116245,0.9997543585829832
diffusive,1.8754948776496005,1.8651919044831393,0.999674925229576
diffusive,1.9258501750087276,1.9585567417297702,0.9990425736768589
diffusive,2.0135428834719957,2.0133647077659593,0.9997187234432353
diffusive,1.8775597792952727,1.8676707288256134,0.9992654650354812
diffusive,1.892410617127574,1.9141814839410642,0.9998380186008742
diffusive,2.0684486133552995,2.0607676542144193,0.999044865970589
diffusive,2.0642855493962946,2.0143001737697293,0.9999088842505467
diffusive,2.1841815609386606,2.191803383133803,0.9996435883349111
diffusive,1.96425849518293,1.958018342641411,0.9995961487653453
diffusive,2.1328646411544643,2.122318785467616,0.9998678646678131
diffusive,1.9555053609104747,1.9721219102523406,0.9989497865077187
diffusive,1.8844292425083085,1.906600376767835,0.9990962626609187
diffusive,2.160806724717273,2.167596775192303,0.9998662943098492
diffusive,2.1346941244388997,2.143244468490144,0.9998651752762991
