name,n_points,r_max,v_max,slope_full,slope_err,alpha_full,r2_full,slope_inner,alpha_inner,slope_outer,alpha_outer,struct_proxy,bar_ratio
UGC07261,7,6.67,76.1,0.161260140315185,0.007665969629434966,1.67747971936963,0.811745018665094,0.2144789383993757,1.5710421232012486,0.14014210190192342,1.7197157961961531,1.1930555168241674,0.6830866870364244
NGC0055,21,13.5,87.4,0.37314683114392544,0.01631032229146664,1.2537063377121491,0.8987247532599334,0.5866371324134099,0.8267257351731803,0.04999404695922241,1.9000119060815552,0.6309675922667577,0.7301529960550157
NGC5585,24,10.96,92.3,0.3766456464878337,0.008412637779059217,1.2467087070243326,0.9566325476854033,0.4149099333065761,1.1701801333868478,0.17351544858461126,1.6529691028307774,0.6631194790778647,0.780974333710262
UGC11557,12,10.56,85.0,0.7240360343549149,0.03912706693275066,0.5519279312901701,0.8676016853231844,0.9718028427075536,0.05639431458489286,0.1942497047032638,1.6115005905934723,0.6477232053832266,1.3349542053025738
NGC4157,17,29.61,201.0,-0.01728455293864225,0.009800842283622943,2.0345691058772846,-0.18547279838132602,0.007485480294914281,1.9850290394101715,0.02727815097993598,1.945443698040128,2.0843155485129525,1.0362881874647671
UGC05918,8,4.46,44.5,0.34222546085463523,0.017892385418220566,1.3155490782907295,0.8933528471247482,0.5236717564404494,0.9526564871191012,0.22676265137575038,1.5464746972484993,0.5211681160540972,0.49012324569205984
UGC07608,8,4.78,69.3,0.5271894267465025,0.02653022960091547,0.945621146506995,0.8676559660322037,0.8823803160898293,0.2352393678203415,0.4721362359852178,1.0557275280295644,0.6877248995375795,0.42423931574607554
UGC05999,5,16.22,100.0,0.27858437054916757,0.04664021724217667,1.442831258901665,0.6754385486532486,0.6201133940135661,0.7597732119728677,0.20816167101564534,1.5836766579687094,1.1721842270527325,0.590857524810348
NGC6503,31,23.5,121.0,0.0,0.0021021301679393085,2.0,-0.05070274607352099,0.025066210605343392,1.9498675787893132,-0.02445084709225228,2.0489016941845044,1.9148555865221797,0.7103746186067202
UGC06446,17,10.22,84.9,0.20931964189354146,0.00872094876437777,1.581360716212917,0.7890502735033128,0.28188030586157115,1.4362393882768578,0.06157099325741511,1.8768580134851698,1.1832355904275418,0.49894648999112007
NGC4085,7,6.2,136.0,0.45144331980484964,0.07696604277975692,1.0971133603903007,0.8645601598886824,0.7705427259265794,0.4589145481468413,0.12621754736118607,1.7475649052776279,0.9515773176748678,1.27349087009741
NGC6674,15,72.41,291.0,-0.0764324004425858,0.011154036896657725,2.1528648008851716,-0.6623811905428192,-0.11761068971788455,2.235221379435769,0.03558665184904802,1.928826696301904,1.7305819748480455,0.7175325456054046
UGC00731,12,10.91,74.0,0.32073140353974877,0.008401747164951968,1.3585371929205023,0.942652213741304,0.3612975096960666,1.2774049806078667,0.09973495022614035,1.8005300995477194,0.8624395100141091,0.419928517001227
NGC4013,36,31.01,198.0,-0.06520275275987789,0.006300885669748631,2.130405505519756,0.34884924099241665,-0.1558761662288867,2.3117523324577736,0.1512114402292796,1.6975771195414409,3.5423117825442505,0.8790509115062909
NGC5005,18,11.47,265.0,0.06044769981954821,0.003713272399978018,1.8791046003609035,0.865618038397285,0.10104480948359337,1.7979103810328132,0.022921318510796977,1.9541573629784061,0.749827314070436,1.2110244564134824
UGC05253,73,53.29,248.0,0.0,0.0004988991865497119,2.0,-0.1962862250078281,0.025071122562883116,1.9498577548742337,-0.020012631989644723,2.0400252639792895,0.6958554272716797,1.0509598948686778
F565-V2,7,8.8,83.1,0.6005564903962136,0.05463430056014359,0.7988870192075728,0.9492374428698492,0.8534842520141748,0.29303149597165046,0.35425846620957785,1.2914830675808444,0.9482118897987264,0.42012508356933104
NGC1003,36,30.24,115.0,0.17811948194790456,0.004221767010077614,1.6437610361041908,0.8336460209728933,0.17961094540543462,1.6407781091891307,0.14617486221581105,1.707650275568378,2.043820591719411,0.5793757117206105
UGC06983,17,15.68,113.0,0.1316554404635581,0.007993007681696272,1.7366891190728837,0.6125918322636985,0.18629252598264234,1.6274149480347153,-0.009307029143053711,2.0186140582861074,1.1926242430505614,0.5994491551747332
UGC06818,8,6.98,74.4,0.6562048052804499,0.03561822469524671,0.6875903894391002,0.935573675308338,0.5887155286185213,0.8225689427629574,0.2815518461669082,1.4368963076661836,1.0665956749115346,0.771609703601963
NGC7814,18,19.53,265.0,-0.058015972961379676,0.0021687541062523487,2.1160319459227592,0.9549162235847225,-0.04460049773991047,2.0892009954798207,0.0,2.0,1.0987759610741181,0.8946339930383331
