log10_mu,mu_GeV,alpha1_inv,alpha2_inv,alpha3_inv
12.13856510238469,1375831037091.6296,43.16161357400538,40.8361412996183,34.08546002987266
12.290484942935167,1952023055893.0063,42.71687569599095,40.701245783699605,34.20265832579789
12.442404783485646,2769521771214.4844,42.225777352004926,40.49970437225264,34.26149383024319
12.594324624036124,3929385371794.2266,41.68831934418723,40.23151746997853,34.26196597496772
12.746244464586605,5574994773664.374,41.10450048201608,39.8966847338008,34.20407616317444
12.898164305137081,7909778193171.478,40.474321163391764,39.49520626580415,34.08782389529137
13.05008414568756,11222358693629.436,39.79778143431781,39.027082075949785,33.9132091233708
13.202003986238038,15922233414485.113,39.07488128078949,38.492312144660815,33.68023183376766
13.353923826788519,22590395105554.76,38.305620572301535,37.89089629200748,33.38889194463759
13.505843667338995,32051153738319.527,37.48999966488418,37.22283499890198,33.039189706675984
13.657763507889474,45474036693798.09,36.62801897448397,36.48812883921375,32.63112548854854
13.809683348439952,64518364303266.53,35.719677364395366,35.68677621564227,32.164698358643484
13.961603188990432,91538372992884.75,34.7649752477064,34.81877771001399,31.639908590638072
14.113523029540909,129874243103838.62,33.76391260579146,33.88413328598694,31.056756224917297
14.265442870091388,184265007890254.6,32.71648916013405,32.88284250021489,30.415241123357024
14.417362710641866,261434386998881.1,31.622704776695308,31.814905092459572,29.715363226589858
14.569282551192346,370921964446921.44,30.48256160173639,30.680324458063936,28.95712363866783
14.721202391742823,526262460300418.0,29.296057365520223,29.479097019188455,28.140521192024973
14.873122232293301,746658876172000.4,28.06319251018748,28.21122343324015,27.26555612915584
15.02504207284378,1059356346732744.1,26.783967823289206,26.876705059107028,26.33222882966203
15.17696191339426,1503010149851118.2,25.45838249152745,25.475540466801228,25.340538901383518
15.328881753944737,2132464224642425.2,24.086436651568775,24.00772985032904,24.290486419719606
15.480801594495215,3025530911970398.0,22.668131188570847,22.4732749733268,23.18207178094479
15.632721435045694,4292610020608150.0,21.20346456983615,20.8721727209445,22.01529430303918
15.784641275596174,6090336316221973.0,19.692438306088707,19.204426300046826,20.790154636936297
15.93656111614665,8640942519031139.0,18.135051258589595,17.470033139591557,19.50665231191029
16.08848095669713,1.2259731440170748e+16,16.531304153559024,15.66899495274912,18.16478761545401
16.24040079724761,1.7394053328567286e+16,14.881196649738293,13.801310871617444,16.76456041584014
16.392320637798086,2.467860676015157e+16,13.184728878996223,11.866981268921311,15.305970755804081
16.544240478348566,3.501389929752294e+16,11.44190075982291,9.866005810745458,13.789018609163728
16.696160318899043,4.9677567130598744e+16,9.652712376335705,7.7983847881265165,12.213703994157001
16.84808015944952,7.048231489572295e+16,7.8171637032752495,5.664118108065202,10.580026896562979
17.0,1.0000000000000022e+17,5.9352547244458576,3.463205675910815,8.887987306868485
