z,alpha,epsilon,N_dyn,M_halo,M_star_target,A_available,A_needed,feasible,margin
7,0.5,0.1,3,5000000000000.0,10000000000.0,3.567428633796945,0.040561331567189426,True,87.95146746816081
7,0.5,0.1,3,5000000000000.0,30000000000.0,3.567428633796945,0.12327821382326126,True,28.938029868857576
7,0.5,0.1,3,5000000000000.0,100000000000.0,3.567428633796945,0.4311067217461339,True,8.275047578352765
7,0.5,0.1,5,100000000000.0,10000000000.0,3.567428633796945,1.9232907720464383,True,1.8548566268017268
7,0.5,0.1,5,100000000000.0,30000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.1,5,100000000000.0,100000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.1,5,500000000000.0,10000000000.0,3.567428633796945,0.2586640330476803,True,13.791745963921278
7,0.5,0.1,5,500000000000.0,30000000000.0,3.567428633796945,0.9140707481136106,True,3.9027926899084475
7,0.5,0.1,5,500000000000.0,100000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.1,5,1000000000000.0,10000000000.0,3.567428633796945,0.12492956808091148,True,28.555518830309857
7,0.5,0.1,5,1000000000000.0,30000000000.0,3.567428633796945,0.4025392578343266,True,8.862312344365664
7,0.5,0.1,5,1000000000000.0,100000000000.0,3.567428633796945,1.9232907720464383,True,1.8548566268017268
7,0.5,0.1,5,5000000000000.0,10000000000.0,3.567428633796945,0.024336798940313653,True,100.0
7,0.5,0.1,5,5000000000000.0,30000000000.0,3.567428633796945,0.07396692829395675,True,48.230049781429294
7,0.5,0.1,5,5000000000000.0,100000000000.0,3.567428633796945,0.2586640330476803,True,13.791745963921278
7,0.5,0.1,7,100000000000.0,10000000000.0,3.567428633796945,1.3737791228903133,True,2.596799277522417
7,0.5,0.1,7,100000000000.0,30000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.1,7,100000000000.0,100000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.1,7,500000000000.0,10000000000.0,3.567428633796945,0.18476002360548596,True,19.308444349489786
7,0.5,0.1,7,500000000000.0,30000000000.0,3.567428633796945,0.6529076772240077,True,5.463909765871826
