alpha,U_tree,V_1loop,V_eff,m2_alpha,m2_phi
2.5251256281407035,0.00017408457193642104,-0.004459591052307999,-0.004285506480371578,0.9083293351178,1.0
2.5326633165829144,0.0003027095609504508,-0.004618961725886114,-0.004316252164935663,0.9587826064998349,1.0
2.540201005025126,0.000471611728318228,-0.004782990851483151,-0.004311379123164923,1.010599479811117,1.0
2.5477386934673367,0.0006837351402236768,-0.0049512413389959575,-0.004267506198772281,1.0637799550516402,1.0
2.5552763819095476,0.0009421013382766437,-0.005123228816657685,-0.004181127478381041,1.1183240322214079,1.0
2.5628140703517586,0.0012498093395128592,-0.0052984207250315225,-0.004048611385518664,1.1742317113204195,1.0
2.5703517587939695,0.0016100356363939474,-0.005476235433666616,-0.0038661997972726687,1.2315029923486753,1.0
2.577889447236181,0.0020260341968074518,-0.005656041379309776,-0.003630007182502324,1.2901378753061787,1.0
2.585427135678392,0.002501136464066764,-0.005837156224645739,-0.003336019760578975,1.3501363601929266,1.0
2.592964824120603,0.0030387513569111544,-0.006018846036610593,-0.002980094679699438,1.411498447008915,1.0
2.600502512562814,0.0036423652695058463,-0.006200324483388042,-0.002557959213882196,1.4742241357541475,1.0
2.608040201005025,0.004315542071441931,-0.00638075204925758,-0.002065209977815649,1.5383134264286242,1.0
2.615577889447236,0.00506192310773639,-0.006559235266518012,-0.0014973121587816213,1.6037663190323452,1.0
2.6231155778894473,0.0058852271988321546,-0.006734825963759285,-0.0008495987649271303,1.6705828135653142,1.0
2.630653266331658,0.006789250640597895,-0.006906520529800994,-0.00011726988920309888,1.7387629100275237,1.0
2.6381909547738696,0.007777867204328381,-0.0070732591926579306,0.0007046080116704509,1.8083066084189814,1.0
2.6457286432160805,0.008855028136744056,-0.0072339253129310305,0.0016211028238130257,1.879213908739679,1.0
2.6532663316582914,0.010024762159991424,-0.007387344691058044,0.0026374174689333804,1.951484810989621,1.0
2.6608040201005023,0.011291175471642828,-0.007532284887890338,0.00375889058375249,2.025119315168807,1.0
2.6683417085427132,0.012658451744696505,-0.007667454558092909,0.004990997186603596,2.100117421277237,1.0
2.6758793969849246,0.014130852127576676,-0.00779150279589238,0.006339349331684296,2.176479129314916,1.0
2.6834170854271355,0.015712715244133188,-0.007903018492723785,0.007809696751409403,2.2542044392818346,1.0
2.690954773869347,0.017408457193642146,-0.008000529706351091,0.009407927487291055,2.3332933511780025,1.0
2.698492462311558,0.01922257155080516,-0.00808250304105854,0.01114006850974662,2.4137458650034094,1.0
2.7060301507537687,0.021159629365750023,-0.008147343038531131,0.013012286327218892,2.4955619807580605,1.0
2.7135678391959797,0.023224279164030342,-0.008193391579061562,0.01503088758496878,2.5787416984419558,1.0
2.7211055276381906,0.025421246946625602,-0.008218927292739457,0.017202319653886147,2.6632850180550953,1.0
2.728643216080402,0.027755336189941325,-0.008222164980295356,0.01953317120964597,2.749191939597484,1.0
2.7361809045226133,0.030231427845808664,-0.008201255043288013,0.02203017280252065,2.8364624630691173,1.0
2.7437185929648242,0.032854480341484624,-0.008154282923338247,0.02470019741814638,2.925096588469989,1.0
2.751256281407035,0.03562952957965242,-0.008079268550126528,0.027550261029525895,3.0150943158001056,1.0
2.758793969849246,0.03856168893842101,-0.007974165797884658,0.030587523140536352,3.106455645059466,1.0
2.766331658291457,0.04165614927132523,-0.007836861950123945,0.033819287321201284,3.1991805762480707,1.0
2.7738693467336684,0.04491817890732602,-0.007665177172354064,0.03725300173497196,3.2932691093659257,1.0
2.7814070351758793,0.04835312365080964,-0.007456863992557454,0.040896259658252186,3.3887212444130186,1.0
2.7889447236180906,0.05196640678158903,-0.007209606789194304,0.04475679999239472,3.4855369813893615,1.0
2.7964824120603016,0.05576352905490216,-0.006921021286523207,0.04884250776837895,3.583716320294943,1.0
2.8040201005025125,0.05975006870141357,-0.006588654057030909,0.05316141464438266,3.6832592611297685,1.0
2.8115577889447234,0.06393168142721349,-0.006209982030774081,0.05772169939643941,3.7841658038938384,1.0
2.8190954773869343,0.06831410041381798,-0.005782412011443392,0.0625316884023746,3.8864359485871525,1.0
2.8266331658291457,0.07290313631816935,-0.005303280198968254,0.0675998561192011,3.9900696952097165,1.0
2.8341708542713566,0.07770467727263491,-0.004769851718487927,0.07293482555414699,4.095067043761519,1.0
2.841708542713568,0.08272468888500904,-0.00417932015552097,0.07854536872948807,4.201427994242572,1.0
2.849246231155779,0.08796921423851081,-0.003528807097172727,0.08444040714133809,4.309152546652863,1.0
2.85678391959799,0.09344437389178607,-0.00281536167922515,0.09062901221256092,4.418240700992397,1.0
2.8643216080402008,0.0991563658789063,-0.002035960138960727,0.09712040573994558,4.528692457261176,1.0
2.8718592964824117,0.10511146570936884,-0.0011875053735767496,0.1039239603357921,4.640507815459199,1.0
2.879396984924623,0.11131602636809733,-0.0002668265040518855,0.11104919986404545,4.753686775586473,1.0
2.8869346733668344,0.11777647831544054,0.0007293215556676472,0.11850579987110818,4.868229337642992,1.0
2.8944723618090453,0.12449932948717314,0.0018042585242910325,0.12630358801146419,4.9841355016287485,1.0
2.9020100502512562,0.1314911652944964,0.0029613791737382253,0.13445254446823462,5.101405267543748,1.0
2.909547738693467,0.1387586486240371,0.004204153744746879,0.142962802368784,5.220038635387993,1.0
2.917085427135678,0.14630851983784807,0.005536128357646124,0.1518446481954942,5.340035605161481,1.0
2.9246231155778895,0.1541475967734083,0.006960925418408474,0.1611085221918168,5.461396176864221,1.0
2.9321608040201004,0.16228277474362138,0.008482244020086524,0.1707650187637079,5.584120350496198,1.0
2.9396984924623117,0.17072102653681867,0.010103860339739536,0.1808248868765582,5.708208126057426,1.0
2.9472361809045227,0.1794694024167555,0.011829628030948077,0.19129903044770358,5.833659503547891,1.0
2.9547738693467336,0.18853503012261447,0.013663478612016106,0.20219850873463058,5.960474482967601,1.0
2.9623115577889445,0.1979251148690037,0.015609421849952107,0.21353453671895578,6.088653064316554,1.0
2.9698492462311554,0.20764693934595713,0.017671546140321487,0.2253184854862786,6.2181952475947515,1.0
2.977386934673367,0.21770786371893525,0.019854018883057534,0.2375618826019928,6.349101032802201,1.0
2.984924623115578,0.22811532562882325,0.022161086854315743,0.250276412483139,6.481370419938895,1.0
2.992462311557789,0.23887684019193212,0.02459707657445473,0.2634739167663869,6.615003409004826,1.0
3.0,0.25,0.02716639467222342,0.2771663946722234,6.75,1.0
