r_cm,alpha,P_density
2.4048855711422847,2.2404885571142286,6400.0
2.424925450901804,2.2424925450901805,6400.000000002328
2.444965330661323,2.2444965330661324,6400.0
2.465005210420842,2.2465005210420843,6400.000000002328
2.485045090180361,2.2485045090180362,6400.0
2.5050849699398805,2.250508496993988,6400.0
2.525124849699399,2.25251248496994,6400.0
2.5451647294589184,2.254516472945892,6400.0
2.565204609218437,2.256520460921844,6400.0
2.5852444889779562,2.258524448897796,6400.000000002328
2.6052843687374754,2.2605284368737477,6400.0
2.625324248496994,2.2625324248496996,6400.0
2.6453641282565132,2.2645364128256515,6400.0
2.6654040080160324,2.2665404008016035,6400.0
2.6854438877755515,2.2685443887775554,6399.999999997672
2.7054837675350702,2.270548376753507,6399.999999997672
2.72552364729459,2.2725523647294588,6400.0
