z,alpha,mu,g_normalized,warp_factor
1.3313226452905813,4599463882.181682,0.7511327201842457,2299731941.090841,0.5642003633313843
1.3513426853707415,4929714749.78837,0.7400047455214142,2464857374.894185,0.547607023394213
1.371362725450902,5278292907.658281,0.7292016776022562,2639146453.8291407,0.5317350866179448
1.3913827655310622,5645925465.199984,0.7187094915742473,2822962732.599992,0.5165433332789131
1.4114028056112227,6033357212.316192,0.7085149583268255,3016678606.158096,0.5019934461728633
1.431422845691383,6441350784.9981365,0.6986055888447107,3220675392.4990683,0.48804976876506495
1.4514428857715431,6870686832.567439,0.6889695831664987,3435343416.2837195,0.47467908652861895
1.4714629258517036,7322164182.061053,0.6795957835099283,3661082091.0305266,0.46185042896447337
1.4914829659318638,7796599999.334631,0.6704736311723211,3898299999.6673155,0.4495348900973976
1.5115030060120243,8294829952.564749,0.661593126856173,4147414976.2823744,0.43770546550332823
1.5315230460921845,8817708373.779383,0.6529447941064862,4408854186.889691,0.42633690415076164
1.5515430861723447,9366108426.936815,0.6445196455787761,4683054213.468408,0.4154055735369911
1.5715631262525052,9940922265.748327,0.6363091518853368,4970461132.874164,0.40488933677303657
1.5915831663326654,10543061188.005005,0.6283052127927474,5271530594.002502,0.39476744042253964
1.6116032064128258,11173455797.231724,0.6205001305661597,5586727898.615862,0.3850204120326213
1.631623246492986,11833056160.684526,0.6128865852759832,5916528080.342263,0.37562996641125496
1.6516432865731465,12522831973.930943,0.6054576119004573,6261415986.965471,0.3665789198082048
1.6716633266533067,13243772713.11318,0.598206579073559,6621886356.55659,0.35785111124689023
1.691683366733467,13996887788.1357,0.5911271693419415,6998443894.06785,0.3494313303342164
1.7117034068136274,14783206700.10253,0.5842133608073617,7391603350.051265,0.34130525094583264
1.7317234468937877,15603779196.159672,0.5774594100424705,7801889598.079836,0.33345937024659805
1.751743486973948,16459675430.576542,0.5708598361780991,8229837715.288271,0.32588095256128613
1.7717635270541083,17351986112.461193,0.5644094060693805,8675993056.230597,0.3185579776595909
1.7917835671342688,18281822657.51016,0.5581031204563247,9140911328.75508,0.3114790930630869
1.811803607214429,19250317341.70072,0.5519362010419316,9625158670.85036,0.3046335700205996
1.8318236472945892,20258623453.260567,0.545904078417644,10129311726.630283,0.2980112628330172
1.8518436873747497,21307915449.635883,0.5400023807720193,10653957724.817942,0.29160257123944894
1.87186372745491,22399389102.06071,0.5342269233239835,11199694551.030355,0.2853984056042093
1.8918837675350704,23534261645.592083,0.52857369842699,11767130822.796041,0.27939015466878653
1.9119038076152306,24713771929.29886,0.5230388662949143,12356885964.64943,0.2735696556550692
1.9319238476953908,25939180565.601807,0.5176187463045756,12969590282.800903,0.2679291665259206
1.9519438877755513,27211770083.663887,0.5123098088334941,13605885041.831944,0.26246134022701123
1.9719639278557115,28532845071.067535,0.5071086675948415,14266422535.533768,0.25715920074981546
1.991983967935872,29903732321.87378,0.5020120724346075,14951866160.93689,0.2520161208700897
