Grad_Alpha,Ideal_FA_Pa,Robust_Mean_FA_Pa,Robust_Std_FA_Pa
46.41588833612782,3.7132710668902255e-08,3.7122321633289424e-08,2.9407088697368594e-09
50.9413801481638,4.0753104118531045e-08,4.0851698011934916e-08,3.397438617299767e-09
55.90810182512229,4.472648146009783e-08,4.4845419196222653e-08,3.599268911623006e-09
61.35907273413176,4.908725818730541e-08,4.9020229610635834e-08,3.909136483323208e-09
67.34150657750828,5.387320526200663e-08,5.383240950095566e-08,4.29015839836524e-09
73.90722033525783,5.912577626820627e-08,5.89939794087645e-08,4.773723277377991e-09
81.11308307896873,6.4890466463175e-08,6.469518590486686e-08,5.191151653434079e-09
89.02150854450393,7.121720683560315e-08,7.129521690824124e-08,5.7472348162468725e-09
97.70099572992257,7.816079658393806e-08,7.865434040081849e-08,6.087477964328681e-09
107.22672220103243,8.578137776082595e-08,8.583989671228704e-08,6.8427284705451216e-09
117.68119524349991,9.414495619479994e-08,9.39669661176797e-08,7.197747764195768e-09
129.1549665014884,1.0332397320119072e-07,1.0350373256679778e-07,8.246281337397375e-09
141.7474162926806,1.1339793303414451e-07,1.1312287713152494e-07,8.956105974895702e-09
155.56761439304722,1.2445409151443778e-07,1.2453968561447918e-07,9.849409413449192e-09
170.7352647470692,1.3658821179765538e-07,1.357864081906877e-07,1.0427750216338136e-08
187.3817422860385,1.499053938288308e-07,1.503095462550118e-07,1.1879223851152585e-08
205.65123083486534,1.645209846678923e-07,1.6414995113820892e-07,1.3127678948556513e-08
225.70197196339214,1.8056157757071373e-07,1.8103236183042048e-07,1.4336272458090429e-08
247.70763559917114,1.9816610847933692e-07,1.9820464914364391e-07,1.5965326238126057e-08
271.85882427329426,2.1748705941863544e-07,2.176928540434029e-07,1.7399419095456898e-08
298.364724028334,2.3869177922266725e-07,2.386010793238534e-07,1.918736452095818e-08
327.4549162877732,2.619639330302186e-07,2.6233071457246715e-07,2.0612680844711026e-08
359.3813663804629,2.875050931043704e-07,2.872108011515678e-07,2.2914764885152005e-08
