L,N,realization_seed,walk_index,first_passage_time
10,1000,56,10,847
10,1000,56,11,2588
10,1000,56,12,475
10,1000,56,13,1490
10,1000,56,14,233
10,1000,56,15,7367
10,1000,56,16,4192
10,1000,56,17,225
10,1000,56,18,66
10,1000,56,19,905
10,1000,56,20,1641
10,1000,56,21,911
10,1000,56,22,1034
10,1000,56,23,183
10,1000,56,24,70
10,1000,56,25,2656
10,1000,56,26,1503
10,1000,56,27,3772
10,1000,56,28,1413
10,1000,56,29,21
10,1000,56,30,2798
10,1000,56,31,1625
10,1000,56,32,3279
10,1000,56,33,412
10,1000,56,34,7559
12,1728,57,0,17386
12,1728,57,1,2118
12,1728,57,2,279
12,1728,57,3,5621
12,1728,57,4,6269
12,1728,57,5,9444
12,1728,57,6,514
12,1728,57,7,865
12,1728,57,8,477
12,1728,57,9,2905
12,1728,57,10,3574
12,1728,57,11,7198
12,1728,57,12,10377
12,1728,57,13,1758
12,1728,57,14,1452
12,1728,57,15,5319
12,1728,57,16,8568
12,1728,57,17,1010
12,1728,57,18,1035
12,1728,57,19,4578
12,1728,57,20,8046
12,1728,57,21,2020
12,1728,57,22,17998
12,1728,57,23,1394
12,1728,57,24,871
12,1728,57,25,9096
12,1728,57,26,7475
12,1728,57,27,86
12,1728,57,28,2416
12,1728,57,29,3295
12,1728,57,30,764
12,1728,57,31,5385
12,1728,57,32,225
12,1728,57,33,4535
12,1728,57,34,6193
12,1728,58,0,946
12,1728,58,1,104
12,1728,58,2,274
12,1728,58,3,2107
12,1728,58,4,772
12,1728,58,5,975
12,1728,58,6,2306
12,1728,58,7,1031
12,1728,58,8,237
12,1728,58,9,2289
12,1728,58,10,33
12,1728,58,11,4064
12,1728,58,12,948
12,1728,58,13,9783
12,1728,58,14,147
12,1728,58,15,1077
12,1728,58,16,198
12,1728,58,17,180
12,1728,58,18,847
12,1728,58,19,3216
12,1728,58,20,2861
12,1728,58,21,1983
12,1728,58,22,397
12,1728,58,23,3600
12,1728,58,24,249
12,1728,58,25,123
12,1728,58,26,10584
12,1728,58,27,1662
12,1728,58,28,4084
