frequency_Hz,S_baseline,S_active,suppression_pct
716024.1605177564,7.633756467144819e-19,7.405812338258542e-19,2.9860021061365205
754094.5004720009,7.5504616582808235e-19,7.324702823859469e-19,2.9900004084354004
794189.0050622299,7.465620411794134e-19,7.2421497112799455e-19,2.993330603323352
836415.2972431801,7.379289507684836e-19,7.158206698928134e-19,2.9959904476774546
880886.7221821818,7.291530213359065e-19,7.072931730856246e-19,2.9979781487062596
927722.651503903,7.20240808641888e-19,6.986386810517375e-19,2.9992923659635795
977048.8037114874,7.111992745547916e-19,6.898637784198316e-19,2.999932212854972
1028997.5816441844,7.0203576112959e-19,6.809754095838498e-19,2.9998972576345206
1083708.4278773097,6.927579618987499e-19,6.719808515347256e-19,2.9991875238903454
1141328.19901846,6.833738906369608e-19,6.6288768429015675e-19,2.9978034905180917
1202011.5599047428,6.738918478956818e-19,6.537037592035502e-19,2.995746091182383
1265921.3987590848,6.643203856330292e-19,6.444371654613919e-19,2.9930167132671492
1333229.2644200146,6.546682702883692e-19,6.350961951010003e-19,2.9896171963165075
1404115.8268185728,6.449444446686535e-19,6.256893068974572e-19,2.9855498299685035
1478771.3619383133,6.351579890247523e-19,6.162250894791932e-19,2.980817351385201
1557396.262560217,6.25318081700598e-19,6.067122240360609e-19,2.975422942182815
1640201.5761634118,6.154339597359724e-19,5.971594469818515e-19,2.9693702248671516
1727409.5714255744,6.055148797954133e-19,5.875755129252717e-19,2.9626632587794854
1819254.334843661,5.955700797813568e-19,5.779691582897406e-19,2.955306535559643
1915982.3990763633,5.856087414698461e-19,5.68349065903548e-19,2.947304974132947
2017853.4046949989,5.756399544824543e-19,5.587238308584355e-19,2.938663915229389
2125140.797119043,5.656726818793427e-19,5.491019279073342e-19,2.929389115443082
2238132.560607099,5.55715727626296e-19,5.394916806414756e-19,2.9194867408414704
2357131.9912734604,5.45777706154039e-19,5.299012326542364e-19,2.908963360134331
2482458.5112052984,5.358670141919686e-19,5.203385208646737e-19,2.897825937412901
2614448.525865629,5.259918050214674e-19,5.108112511385383e-19,2.8860818244705433
2753456.32708368,5.161599652569636e-19,5.013268763093647e-19,2.8737387527167924
2899855.0440563615,5.063790942266431e-19,4.918925766677491e-19,2.8608048246972495
3054037.644913605,4.966564859898059e-19,4.825152429537292e-19,2.8472885052319707
3216417.991536054,4.869991139948893e-19,4.732014618558239e-19,2.833198612186838
3387431.950456347,4.774136183516258e-19,4.639575039912555e-19,2.818544306890647
3567538.5628260835,4.679062956629978e-19,4.547893143154314e-19,2.803335084213876
3757221.2765887817,4.584830913379281e-19,4.457025048852878e-19,2.787580762323094
3956989.2441663262,4.491495942841132e-19,4.367023498806244e-19,2.7712914721270465
4167378.689142276,4.399110338621933e-19,4.277937827702792e-19,2.754477646430198
4388954.345610336,4.3077227896756006e-19,4.189813954958498e-19,2.7371500088096967
4622310.974051779,4.2173783909441796e-19,4.102694395345856e-19,2.7193195622327915
4868074.957810568,4.1281186722816958e-19,4.016618286949883e-19,2.7009975774311856
5126905.984451587,4.039981644065437e-19,3.931621434933092e-19,2.6821955810497733
5399498.816515223,3.9530018578694178e-19,3.847736369563752e-19,2.662925343586897
5686585.156421165,3.8672104805699076e-19,3.764992416957405e-19,2.6431988671441253
5988935.610527577,3.782635380269531e-19,3.683415780997814e-19,2.6230283730029336
