L,N,seed,walk,first_passage_time
6,216,50,24,376
6,216,50,25,403
6,216,50,26,764
6,216,50,27,663
6,216,50,28,2828
6,216,50,29,4020
6,216,50,30,583
6,216,50,31,4026
6,216,50,32,953
6,216,50,33,123
6,216,50,34,3156
6,216,50,35,378
6,216,50,36,1675
6,216,50,37,552
6,216,50,38,7080
6,216,50,39,2345
6,216,50,40,2827
6,216,50,41,7393
6,216,50,42,1869
6,216,50,43,7660
6,216,50,44,8140
6,216,50,45,4567
6,216,50,46,6916
6,216,50,47,1386
6,216,50,48,2231
6,216,50,49,1350
6,216,51,0,1736
6,216,51,1,1679
6,216,51,2,759
6,216,51,3,2606
6,216,51,4,196
6,216,51,5,478
6,216,51,6,1212
6,216,51,7,2267
6,216,51,8,5075
6,216,51,9,1437
6,216,51,10,1525
6,216,51,11,9241
6,216,51,12,4097
6,216,51,13,941
6,216,51,14,1119
6,216,51,15,3123
6,216,51,16,6226
6,216,51,17,808
6,216,51,18,370
6,216,51,19,5365
6,216,51,20,1583
6,216,51,21,3646
6,216,51,22,5801
6,216,51,23,3168
6,216,51,24,2385
6,216,51,25,9410
6,216,51,26,2823
6,216,51,27,116
6,216,51,28,257
6,216,51,29,726
6,216,51,30,3490
6,216,51,31,7332
6,216,51,32,5047
6,216,51,33,2878
6,216,51,34,285
6,216,51,35,949
6,216,51,36,665
6,216,51,37,2835
6,216,51,38,971
6,216,51,39,12148
6,216,51,40,4006
6,216,51,41,598
6,216,51,42,1865
6,216,51,43,2912
6,216,51,44,678
6,216,51,45,2502
6,216,51,46,261
6,216,51,47,1376
6,216,51,48,536
6,216,51,49,2670
6,216,52,0,285
6,216,52,1,1734
6,216,52,2,3224
6,216,52,3,3637
6,216,52,4,1708
6,216,52,5,441
6,216,52,6,3323
6,216,52,7,1855
6,216,52,8,3698
6,216,52,9,4240
6,216,52,10,171
6,216,52,11,1835
6,216,52,12,3117
6,216,52,13,6868
6,216,52,14,1161
6,216,52,15,5508
6,216,52,16,534
6,216,52,17,3293
6,216,52,18,870
6,216,52,19,456
6,216,52,20,4286
6,216,52,21,3089
6,216,52,22,3546
6,216,52,23,442
6,216,52,24,2151
6,216,52,25,418
6,216,52,26,1191
6,216,52,27,262
6,216,52,28,4338
6,216,52,29,1686
6,216,52,30,737
6,216,52,31,7875
6,216,52,32,4851
6,216,52,33,3989
6,216,52,34,1102
6,216,52,35,2550
6,216,52,36,1452
6,216,52,37,2296
6,216,52,38,612
6,216,52,39,3660
6,216,52,40,3170
6,216,52,41,1728
6,216,52,42,1588
6,216,52,43,5857
6,216,52,44,1697
6,216,52,45,999
6,216,52,46,900
6,216,52,47,243
6,216,52,48,5768
6,216,52,49,4577
6,216,53,0,652
6,216,53,1,1836
6,216,53,2,5570
6,216,53,3,3897
