x,G_delta2,G_delta3,G_delta4
3.9306532663316585,0.004189296116756825,0.00027115123620161054,1.755020195387381e-05
3.9804020100502515,0.003983751614414064,0.00025144232205925085,1.587027692534666e-05
4.030150753768845,0.0037906600000020617,0.00023338462860940173,1.436910323561563e-05
4.079899497487437,0.0036091267963071186,0.00021682193206293816,1.3025796231822081e-05
4.12964824120603,0.0034383315943202347,0.0002016144414111241,1.1822124152500729e-05
4.179396984924623,0.003277521125934465,0.00018763690013833497,1.0742144730946725e-05
4.229145728643216,0.003126003057063943,0.0001747769263828523,9.771895112773115e-06
4.2788944723618085,0.002983140418891519,0.000162933559241452,8.899126758824268e-06
4.328643216080402,0.0028483466051751898,0.00015201598360154448,8.113078383213028e-06
4.378391959798995,0.0027210808723966235,0.00014194240984810366,7.404281114122772e-06
4.428140703517588,0.0026008442872150605,0.0001326390881502368,6.764391006339215e-06
4.477889447236181,0.0024871760723631743,0.00012403943988213934,6.186044814935904e-06
4.527638190954773,0.0023796503079293726,0.00011608329115671342,5.662735588028357e-06
4.577386934673367,0.0022778729500340764,0.000108716195514947,5.188705176496946e-06
4.6271356783919595,0.0021814791333277963,0.00010188883457651621,4.758851209144593e-06
4.676884422110553,0.002090130727604037,9.555648696397472e-05,4.3686464584745804e-06
4.726633165829146,0.0020035141222048782,8.967855710360113e-05,4.0140688378743825e-06
4.776381909547738,0.0019213382148653812,8.421815661336525e-05,3.691540535902091e-06
4.826130653266332,0.0018433325842499718,7.914173194018658e-05,3.397875016157679e-06
4.875879396984924,0.001769245827726546,7.441873272788328e-05,3.130230798927791e-06
4.925628140703518,0.0016988440479430971,7.002131610352911e-05,2.886071099231688e-06
4.9753768844221105,0.0016319094735521105,6.59240826798548e-05,2.6631285298691265e-06
5.025125628140703,0.0015682392010000004,6.210384059880104e-05,2.45937419155312e-06
5.074874371859297,0.0015076440456888072,5.853939439819326e-05,2.2729905685009143e-06
5.124623115577889,0.0014499474920476752,5.521135587978154e-05,2.1023477296953437e-06
5.174371859296483,0.0013949847331421006,5.210197450110689e-05,1.9459824056995375e-06
5.224120603015075,0.001342601791416602,4.919498511307814e-05,1.802579570315069e-06
5.273869346733668,0.0012926547130260872,4.6475471125950614e-05,1.670956207108556e-06
5.323618090452261,0.0012450088289758599,4.392974141388802e-05,1.5500469842278414e-06
5.373366834170854,0.0011995380769710406,4.154521946697019e-05,1.4388915981033822e-06
5.4231155778894475,0.0011561243784831306,3.931034347326168e-05,1.336623578523005e-06
5.47286432160804,0.001114657066083118,3.7214476165700666e-05,1.2424603749690243e-06
5.522613065326633,0.0010750323565743877,3.524782340195308e-05,1.1556945676818815e-06
5.572361809045226,0.001037152865891489,3.340136056246743e-05,1.0756860672269293e-06
5.622110552763819,0.0010009271621181975,3.1666765954868025e-05,1.0018551838659883e-06
5.671859296482412,0.0009662693533254963,3.0036360503369583e-05,9.336764631760729e-07
5.721608040201005,0.0009330987072415515,2.8503053081659973e-05,8.706731974558547e-07
5.771356783919598,0.0009013393000453489,2.7060290918040487e-05,8.124125338062397e-07
5.821105527638191,0.000870919691827031,2.5702014563722883e-05,7.585011096120908e-07
5.870854271356784,0.0008417726264840382,2.442261697007694e-05,7.08581154697836e-07
5.920603015075377,0.0008138347540257553,2.321690626919647e-05,6.623270068601617e-07
5.97035175879397,0.0007870463734428648,2.208007189517784e-05,6.194419939495652e-07
6.0201005025125625,0.0007613511944630989,2.100765372165433e-05,5.796556413103874e-07
6.069849246231156,0.0007366961166645541,1.9995513924993793e-05,5.427211683086343e-07
6.119597989949749,0.0007130310245527492,1.903981131265318e-05,5.084132419747433e-07
6.169346733668342,0.0006903085973297482,1.8136977882942722e-05,4.7652595954736444e-07
6.219095477386935,0.000668484132194228,1.7283697406275176e-05,4.4687103499547004e-07
6.268844221105527,0.0006475153801115014,1.647688583920262e-05,4.192761674809422e-07
6.318592964824121,0.000627362393083324,1.5713673401478334e-05,3.935835722552352e-07
6.368341708542713,0.0006079873820296874,1.499138816328461e-05,3.696486567073131e-07
6.418090452261307,0.000589354584469616,1.4307541004872256e-05,3.473388262353537e-07
6.4678391959798995,0.0005714301412559855,1.3659811824367983e-05,3.2653240633583553e-07
6.517587939698492,0.0005541819816811934,1.3046036881598507e-05,3.071176688200946e-07
6.567336683417086,0.0005375797163268075,1.2464197176616465e-05,2.889919514060108e-07
6.617085427135678,0.0005215945370815627,1.1912407771328956e-05,2.720608611133297e-07
6.666834170854272,0.0005061991237987963,1.1388907971349899e-05,2.562375529346692e-07
6.716582914572864,0.0004913675571070333,1.0892052293030302e-05,2.414420761773336e-07
6.766331658291457,0.00047707523692631053,1.0420302147661407e-05,2.2760078168829524e-07
6.8160804020100505,0.00046329880627837415,9.972218181181006e-06,2.1464578389896645e-07
6.865829145728643,0.0004500160800113389,9.546453213416889e-06,2.0251447226877176e-07
6.915577889447237,0.00043720597808909927,9.141745726041196e-06,1.91149067276846e-07
6.965326633165829,0.0004248484631229716,8.756913853044773e-06,1.80496216617951e-07
7.015075376884422,0.0004129244818479208,8.390849831723216e-06,1.7050662770937384e-07
7.064824120603015,0.0004014159102685516,8.042514875944631e-06,1.6113473301672988e-07
7.114572864321608,0.0003903055022209522,7.710934436883359e-06,1.523383850639497e-07
7.1643216080402015,0.00037957684111566785,7.395193819492374e-06,1.4407857831134894e-07
7.214070351758794,0.00036921429464471323,7.09443412578247e-06,1.3631919536999313e-07
7.263819095477387,0.0003592029722517049,6.807848498508063e-06,1.2902677527445907e-07
7.31356783919598,0.00034952868517908604,6.534678641154497e-06,1.2217030176302064e-07
7.363316582914573,0.00034017790892009635,6.274211592203122e-06,1.1572100971724937e-07
7.413065326633166,0.0003311377479157301,6.025776733539543e-06,1.0965220809470163e-07
7.462814070351759,0.0003223959023485328,5.788743014586487e-06,1.0393911785112471e-07
7.5125628140703515,0.0003139406368957583,5.562516375301808e-06,9.855872349451434e-08
7.562311557788945,0.0003057607513142694,5.346537352600585e-06,9.348963704426649e-08
7.612060301507538,0.00029784555273864276,5.140278856050542e-06,8.871197328618763e-08
7.661809045226131,0.00029018482958232235,4.943244099865178e-06,8.420723531972147e-08
7.711557788944724,0.00028276882693941264,4.754964679289753e-06,7.995820948869147e-08
7.761306532663316,0.00027558822339184555,4.5749987804512226e-06,7.594886887227377e-08
7.81105527638191,0.0002686341091332736,4.4029295136338886e-06,7.216428458982755e-08
7.8608040201005025,0.0002618979653271478,4.2383633607552375e-06,6.85905442424999e-08
7.910552763819096,0.00025537164462209735,4.0809287285588344e-06,6.521467687699479e-08
7.960301507537689,0.00024904735275296666,3.9302745997196936e-06,6.202458391326061e-08
8.010050251256281,0.00024291763116070673,3.786069274677763e-06,5.900897552872916e-08
8.059798994974875,0.00023697534056882073,3.647999197582906e-06,5.615731203770857e-08
8.109547738693468,0.0002312136454582214,3.5157678602542536e-06,5.345974984608011e-08
8.15929648241206,0.0002256259993862254,3.389094778532748e-06,5.090709159903299e-08
8.209045226130653,0.000220206131098993,3.267714535841845e-06,4.84907401735869e-08
8.258793969849247,0.00021494803139005374,3.1513758891713223e-06,4.620265619845953e-08
8.308542713567839,0.00020984594066064327,3.0398409330659134e-06,4.4035318811750206e-08
8.358291457286432,0.00020489433714045475,2.932884317537375e-06,4.198168939222633e-08
8.408040201005026,0.000200087925730079,2.830292516127906e-06,4.00351780229656e-08
8.457788944723617,0.00019542162742888498,2.7318631406369114e-06,3.818961246695392e-08
8.507537688442211,0.00019089056931440948,2.637404299284511e-06,3.643920945317937e-08
8.557286432160804,0.00018649007504147494,2.5467339953254803e-06,3.477854808897496e-08
8.607035175879398,0.0001822156558312525,2.4596795633483906e-06,3.3202545230013465e-08
8.65678391959799,0.00017806300192236055,2.376077140698431e-06,3.1706432653602576e-08
8.706532663316583,0.00017402797445782278,2.29577117164989e-06,3.0285735893892605e-08
8.756281407035177,0.00017010659778333615,2.2186139421271797e-06,2.8936254609421703e-08
8.806030150753768,0.00016629505213380731,2.1444651429325866e-06,2.765404436418569e-08
8.855778894472362,0.0001625896666865306,2.073191459586024e-06,2.6435399713237115e-08
8.905527638190955,0.00015898691296069975,2.004666187017725e-06,2.5276838492773113e-08
8.955276381909547,0.0001554833985441717,1.9387688674800396e-06,2.417508722284573e-08
9.00502512562814,0.00015207586112955446,1.875384950160275e-06,2.312706753829553e-08
9.054773869346734,0.00014876116284276577,1.8144054710834581e-06,2.2129883570331873e-08
9.104522613065328,0.0001455362848482101,1.7557267519927069e-06,2.118081020741936e-08
9.15427135678392,0.0001423983222156664,1.6992501169864314e-06,2.0277282169836747e-08
9.204020100502513,0.0001393444790348534,1.6448816257761423e-06,1.9416883837494705e-08
9.253768844221106,0.000136372063764468,1.5925318225070464e-06,1.859733977538012e-08
9.303517587939698,0.00013347848480325573,1.5421154991560915e-06,1.7816505905372968e-08
9.353266331658292,0.0001306612462714007,1.4935514725894057e-06,1.7072361277195623e-08
9.403015075376885,0.0001279179439911958,1.4467623744233786e-06,1.636300039493471e-08
9.452763819095477,0.000125246261656587,1.4016744528913691e-06,1.568662605895025e-08
9.50251256281407,0.000122643967181782,1.3582173859716667e-06,1.5041542686086023e-08
9.552261306532664,0.00012010890921967181,1.3163241050820822e-06,1.4426150073939363e-08
9.602010050251257,0.00011763901384133287,1.2759306286926714e-06,1.3838937577561302e-08
9.651758793969849,0.00011523228136837381,1.236975905251048e-06,1.327847866936007e-08
9.701507537688443,0.00011288678335034793,1.1994016648545533e-06,1.274342585518839e-08
9.751256281407036,0.00011060065967988838,1.163152279140625e-06,1.2232505921626489e-08
9.801005025125628,0.00010837211583862757,1.1281746289011083e-06,1.1744515491340914e-08
9.850753768844221,0.00010619942026734654,1.0944179789583289e-06,1.1278316865120494e-08
9.900502512562815,0.00010408090185415955,1.061833859870556e-06,1.0832834130775197e-08
9.950251256281406,0.00010201494753487591,1.0303759560622033e-06,1.0407049520543486e-08
10.0,0.0001,1e-06,1e-08
