t_ext,tau,x_m,v_m_s
0.4612306153076538,0.2306153076538269,104.34587028381623,452.46723361680836
0.46223111555777885,0.23111555777888942,104.79905485509137,453.44872436218105
0.4632316158079039,0.23161580790395195,105.25322140810273,454.43021510755375
0.464232116058029,0.2321160580290145,105.70836994285035,455.41170585292645
0.46523261630815405,0.23261630815407702,106.1645004593342,456.39319659829914
0.4662331165582791,0.23311655827913955,106.62161295755429,457.3746873436718
0.4672336168084042,0.2336168084042021,107.07970743751065,458.35617808904453
0.46823411705852924,0.23411705852926462,107.53878389920322,459.3376688344172
0.4692346173086543,0.23461730865432714,107.99884234263203,460.31915957978987
0.47023511755877934,0.23511755877938967,108.45988276779708,461.3006503251625
0.47123561780890444,0.23561780890445222,108.9219051746984,462.28214107053526
0.4722361180590295,0.23611805902951474,109.38490956333592,463.2636318159079
0.47323661830915453,0.23661830915457727,109.84889593370971,464.2451225612806
0.4742371185592796,0.2371185592796398,110.31386428581973,465.2266133066533
0.4752376188094047,0.23761880940470234,110.779814619666,466.208104052026
0.47623811905952973,0.23811905952976486,111.24674693524851,467.1895947973987
0.4772386193096548,0.2386193096548274,111.71466123256724,468.1710855427713
0.4782391195597799,0.23911955977988994,112.18355751162224,469.1525762881441
0.4792396198099049,0.23961980990495246,112.65343577241346,470.1340670335167
0.48024012006003,0.240120060030015,113.12429601494092,471.1155577788894
0.481240620310155,0.2406203101550775,113.59613823920462,472.09704852426205
0.4822411205602801,0.24112056028014006,114.06896244520459,473.0785392696348
0.48324162081040517,0.24162081040520259,114.54276863294076,474.0600300150075
0.4842421210605302,0.2421210605302651,115.0175568024132,475.04152076038014
0.4852426213106553,0.24262131065532766,115.49332695362187,476.0230115057529
0.48624312156078037,0.24312156078039018,115.97007908656678,477.00450225112553
0.4872436218109054,0.2436218109054527,116.44781320124794,477.9859929964982
0.48824412206103046,0.24412206103051523,116.92652929766531,478.96748374187086
0.48924462231115556,0.24462231115557778,117.40622737581897,479.9489744872436
0.4902451225612806,0.2451225612806403,117.88690743570884,480.93046523261626
0.49124562281140566,0.24562281140570283,118.36856947733494,481.91195597798895
0.4922461230615307,0.24612306153076535,118.8512135006973,482.89344672336165
0.4932466233116558,0.2466233116558279,119.33483950579591,483.87493746873434
0.49424712356178085,0.24712356178089043,119.81944749263074,484.85642821410704
0.4952476238119059,0.24762381190595295,120.30503746120182,485.8379189594797
0.496248124062031,0.2481240620310155,120.79160941150916,486.81940970485243
0.49724862431215605,0.24862431215607803,121.27916334355271,487.8009004502251
0.4982491245622811,0.24912456228114055,121.7676992573325,488.78239119559777
0.49924962481240615,0.24962481240620307,122.25721715284853,489.7638819409704
0.5002501250625312,0.2501250625312656,122.74771703010082,490.7453726863431
0.5012506253126563,0.25062531265632815,123.23919888908934,491.7268634317158
0.5022511255627814,0.2511255627813907,123.73166272981415,492.70835417708855
