beta,V_beta,alpha
2.8768844221105527,20.562394834341646,2.5927638190954774
2.907035175879397,21.124339501008773,2.5969849246231154
2.937185929648241,21.734625393550438,2.601206030150754
2.967336683417085,22.392454885435196,2.605427135678392
2.9974874371859297,23.09708503208683,2.6096482412060302
3.027638190954774,23.8478257361162,2.613040201005025
3.057788944723618,24.6440379398695,2.616356783919598
3.087939698492462,25.485131847065077,2.6196733668341707
3.118090452261306,26.37056517508601,2.6229899497487437
3.148241206030151,27.299841439302504,2.6263065326633166
3.178391959798995,28.2725082706157,2.6296231155778895
3.208542713567839,29.2881557672445,2.6329396984924625
3.238693467336683,30.346414881616045,2.636256281407035
3.2688442211055273,31.446955843071432,2.639572864321608
3.298994974874372,32.58948661695885,2.642889447236181
3.329145728643216,33.77375140055577,2.6462060301507537
