radius_kpc,alpha,velocity_km_s,log_r,log_v
17.0,2.0012363115783174,199.93440857288337,1.2304489213782739,2.300887542329126
17.242424242424242,2.0010954909201,199.9403278970702,1.2365983265171836,2.300900400004776
17.484848484848484,2.0009706790615094,199.945770698468,1.2426618732778438,2.3009122222642726
17.727272727272727,2.0008600627976096,199.9507658151451,1.248641926204293,2.300923071828654
17.96969696969697,2.0007620328494617,199.9553421083141,1.254540753486375,2.3009330114561397
18.21212121212121,2.0006751612399567,199.95952802522717,1.260360532124852,2.300942102994129
18.454545454545453,2.0005981811124314,199.96335126933903,1.2661033527549879,2.300950406664195
18.6969696969697,2.0005299687429825,199.96683855791676,1.2717712241553543,2.300957980536959
18.93939393939394,2.000469527519531,199.9700154505199,1.2773660774661877,2.300964880160804
19.181818181818183,2.0004159736815987,199.9729062345326,1.2828897701394677,2.3009711583143955
19.424242424242426,2.00036852363437,199.97553385625906,1.28834408964093,2.3009768648580495
19.666666666666668,2.0003264826687763,199.9779198880659,1.2937307569224819,2.3009820466632704
19.90909090909091,2.0002892349361177,199.98008452371286,1.2990514296818934,2.3009867476034014
20.151515151515152,2.000256234541097,199.98204659541045,1.3043077054252172,2.3009910085913554
20.393939393939394,2.0002269976311773,199.98382360731256,1.3095011243460895,2.3009948676529444
20.636363636363637,2.0002010953729026,199.98543178113198,1.3146331720348976,2.300998360026452
20.87878787878788,2.000178147717385,199.98688611038455,1.3197052820297384,2.3010015182808665
21.12121212121212,2.000157817867574,199.98820042044892,1.324718838220122,2.301004372446677
21.363636363636363,2.0001398073693246,199.98938743219327,1.3296751771135111,2.3010069501543593
21.606060606060606,2.000123851756731,199.99045882738926,1.334575589973978,2.3010092767766923
21.848484848484848,2.0001097166897575,199.9914253145196,1.3394213248415416,2.3010113755718837
22.09090909090909,2.000097194529012,199.99229669390252,1.3442135884400872,2.3010132678251773
22.333333333333336,2.0000861012985593,199.99308192131681,1.348953547981164,2.301014972987172
22.575757575757578,2.0000762739931233,199.99378916952335,1.3536423328704055,2.3010165088075483
22.81818181818182,2.0000675681908535,199.99442588724986,1.358281036322813,2.3010178914632604
23.060606060606062,2.0000598559371783,199.9949988553444,1.3628707168926855,2.3010191356805643
23.303030303030305,2.000053023869099,199.99551423991437,1.3674123999235437,2.301020254850482
23.545454545454547,2.0000469715527185,199.99597764235457,1.3719070789230268,2.301021261137499
23.78787878787879,2.0000416100098612,199.9963941462368,1.376355716867365,2.3010221655814362
24.03030303030303,2.0000368604123357,199.99676836108767,1.3807592474397163,2.3010229781925506
24.272727272727273,2.000032652924831,199.99710446312042,1.3851185762063503,2.301023708040021
24.515151515151516,2.0000289256795636,199.99740623301776,1.389434581734385,2.30102436333402
24.757575757575758,2.0000256238677103,199.99767709088366,1.393708116654528,2.3010249515016326
25.0,2.0000226989343513,199.9979201284978,1.3979400086720377,2.301025479256915
