time,weak_pulse,strong_pulse
0.10952738184546137,-0.0009554279651815248,-0.002102986023196232
0.1100275068767192,-0.0011052233258824315,-0.0024325424923528054
0.110527631907977,-0.0012697568694621023,-0.00279452291086543
0.11102775693923482,-0.0014496950905268917,-0.0031903935669146868
0.11152788197049264,-0.0016457011394925018,-0.003621613391462856
0.11202800700175045,-0.001858434806197739,-0.004089633922204179
0.11252813203300827,-0.00208855250368166,-0.004595899267874571
0.11302825706426607,-0.0023367072521240833,-0.005141846072920741
0.11352838209552389,-0.002603548662949432,-0.005728903482528643
0.11402850712678171,-0.002889722923093881,-0.00635849310801119
0.11452863215803952,-0.0031958727794357575,-0.007032028992555133
0.11502875718929734,-0.003522637523389167,-0.007750917577327029
0.11552888222055516,-0.0038706529756607814,-0.008516557667938171
0.11602900725181296,-0.004240551471169747,-0.00933034040126838
0.11652913228307078,-0.004632961844130649,-0.010193649212648523
0.11702925731432859,-0.0050485094132994785,-0.01110785980340163
0.11752938234558641,-0.005487815967382528,-0.012074340108742459
0.11802950737684423,-0.005951499750608151,-0.013094450266035364
0.11852963240810203,-0.006440175448461306,-0.014169542583410287
0.11902975743935985,-0.0069544541735808135,-0.015300961508736716
0.11952988247061767,-0.007494943451819238,-0.016490043598955416
0.12003000750187548,-0.008062247208465302,-0.017738117489767738
0.1205301325331333,-0.008656965754628753,-0.01904650386568232
0.1210302575643911,-0.009279695773787577,-0.020416515430418957
0.12153038259564893,-0.009931030308497464,-0.021849456877669402
0.12203050762690675,-0.010611558747263413,-0.023346624862214907
0.12253063265816455,-0.011321866811573374,-0.024909307971400226
0.12303075768942237,-0.01206253654309382,-0.026538786696963867
0.12353088272068018,-0.012834146291027115,-0.028236333407224295
0.124031007751938,-0.01363727069963057,-0.030003212319621844
0.12453113278319582,-0.014472480695897055,-0.031840679473616074
0.12503125781445362,-0.015340343477397041,-0.03374998270393823
0.12553138284571144,-0.01624142250028194,-0.03573236161419862
0.12603150787696926,-0.017176277467448587,-0.03778904755084843
0.12653163290822708,-0.01814546431686475,-0.03992126357749588
0.12703175793948487,-0.01914953521005551,-0.042130224449576224
0.1275318829707427,-0.020189038520750335,-0.04441713658937532
0.1280320080020005,-0.021264518823690747,-0.046783198061406496
0.12853213303325833,-0.022376516883598374,-0.049229598548140234
0.12903225806451615,-0.023525569644303246,-0.05175751932608645
0.12953238309577395,-0.02471221021803217,-0.0543681332422289
0.13003250812703177,-0.02593696787485702,-0.05706260469081138
0.13053263315828958,-0.027200368032302726,-0.05984208959047537
0.1310327581895474,-0.02850293224511486,-0.06270773536174863
0.13153288322080522,-0.029845178195186558,-0.06566068090488447
0.13203300825206302,-0.031227619681644628,-0.06870205657805122
0.13253313328332084,-0.03265076661109468,-0.0718329841758714
0.13303325831457866,-0.034115124988025027,-0.07505457690831041
0.13353338334583648,-0.0356211969053692,-0.07836793937991399
0.1340335083770943,-0.037169480535226854,-0.08177416756939425
0.13453363340835212,-0.03876047011974291,-0.08527434880956372
0.1350337584396099,-0.040394655962144616,-0.08886956176761696
0.13553388347086773,-0.04207252441793644,-0.0925608764257592
0.13603400850212555,-0.04379455788625251,-0.09634935406218181
0.13653413353338337,-0.04556123480136632,-0.10023604723238368
