t,mu_ratio,lambda,M2,m2,gamma
2.5450901803607215,12.744377326789774,1.0639082479757007,0.2596856789917927,1.0032713582426367,0.8122191659745505
2.565130260521042,13.002351952504856,1.0644420046540841,0.2597644050577922,1.0032975102363022,0.8123183277983839
2.5851703406813624,13.265548560103113,1.0649762674349572,0.2598431712197247,1.0033236685815876,0.8124175375653273
2.6052104208416833,13.534072854146432,1.0655110370266334,0.2599219775173708,1.0033498332834492,0.8125167953207874
2.6252505010020037,13.808032678892813,1.066046314134666,0.26000082399025437,1.0033760043468054,0.8126161011098603
2.6452905811623246,14.087538061608624,1.066582099473684,0.2600797106785651,1.0034021817766647,0.8127154549784275
2.665330661322645,14.372701256757516,1.0671183937597282,0.26015863762256114,1.0034283655780438,0.8128148569724455
2.685370741482966,14.663636791083912,1.0676551977101132,0.2602376048625586,1.0034545557559647,0.8129143071379347
2.7054108216432864,14.96046150960899,1.068192512043429,0.2603166124389311,1.0034807523154556,0.813013805520978
2.7254509018036073,15.26329462255783,1.0687303374795398,0.2603956603921106,1.0035069552615505,0.813113352167722
2.7454909819639277,15.572257753236356,1.0692686747395845,0.2604747487625864,1.00353316459929,0.813212947124376
2.7655310621242486,15.887474986877532,1.0698075245459766,0.2605538775909061,1.00355938033372,0.8133125904372128
2.785571142284569,16.209072920476213,1.0703468876224038,0.26063304691767475,1.0035856024698921,0.8134122821525683
2.8056112224448895,16.537180713632836,1.0708867646938292,0.26071225678355553,1.003611831012865,0.8135120223168415
2.8256513026052104,16.87193014042628,1.0714271564864895,0.2607915072292693,1.0036380659677024,0.8136118109764946
2.845691382765531,17.213455642336683,1.0719680637278968,0.26087079829559495,1.003664307339474,0.8137116481780529
2.8657314629258517,17.56189438223969,1.0725094871468372,0.2609501300233689,1.003690555133256,0.8138115339681048
2.885771543086172,17.91738629949347,1.0730514274733722,0.26102950245348583,1.0037168093541302,0.8139114683933023
2.905811623246493,18.280074166140995,1.0735938854388367,0.2611089156268979,1.0037430700071843,0.8140114515003599
2.9258517034068134,18.650103644249835,1.0741368617758413,0.26118836958461533,1.003769337097512,0.8141114833360559
2.9458917835671343,19.027623344412767,1.0746803572182706,0.26126786436770605,1.0037956106302135,0.8142115639472312
2.9659318637274548,19.412784885432433,1.0752243725012838,0.261347400017296,1.0038218906103942,0.8143116933807903
2.9859719438877756,19.80574295521429,1.075768908361315,0.2614269765745688,1.0038481770431655,0.8144118716837007
3.006012024048096,20.206655372892016,1.0763139655360725,0.2615065940807661,1.0038744699336455,0.8145120989029929
3.0260521042084165,20.615683152210643,1.0768595447645393,0.2615862525771871,1.0039007692869575,0.8146123750857609
3.0460921843687374,21.032990566192556,1.0774056467869735,0.2616659521051892,1.0039270751082312,0.8147127002791617
3.066132264529058,21.458745213112536,1.0779522723449069,0.2617456927061874,1.0039533874026019,0.8148130745304153
3.0861723446893787,21.893118083808336,1.0784994221811466,0.26182547442165466,1.0039797061752114,0.8149134978868051
3.106212424849699,22.336283630353652,1.0790470970397739,0.2619052972931217,1.004006031431207,0.8150139703956777
3.12625250501002,22.788419836121346,1.079595297666145,0.26198516136217714,1.0040323631757417,0.8151144921044425
3.1462925851703405,23.249708287264717,1.08014402480689,0.26206506667046753,1.0040587014139755,0.8152150630605726
3.1663326653306614,23.72033424564592,1.0806932792099149,0.2621450132596971,1.0040850461510733,0.8153156833116036
3.186372745490982,24.200486723240406,1.0812430616243989,0.26222500117162795,1.0041113973922067,0.815416352905135
3.2064128256513023,24.690358558047684,1.0817933728007965,0.26230503044808023,1.0041377551425525,0.815517071888829
3.226452905811623,25.190146491538513,1.0823442134908365,0.26238510113093166,1.0041641194072943,0.815617840310411
3.2464929859719436,25.700051247669872,1.0828955844475228,0.262465213262118,1.004190490191621,0.8157186582176695
3.2665330661322645,26.22027761349941,1.0834474864251333,0.2625453668836328,1.004216867500728,0.8158195256584566
3.286573146292585,26.7510345214316,1.0839999201792208,0.2626255620375274,1.004243251339816,0.8159204426806872
3.306613226452906,27.292535133128887,1.0845528864666125,0.26270579876591105,1.0042696417140926,0.8160214093323391
3.3266533066132262,27.84499692512121,1.0851063860454104,0.2627860771109508,1.0042960386287703,0.816122425661454
3.346693386773547,28.408641776148652,1.085660419674991,0.2628663971148716,1.0043224420890682,0.8162234917161362
3.3667334669338675,28.983696056271874,1.0862149881242225,0.2629467588202701,1.0043488521002388,0.8163246075448815
3.3867735470941884,29.57039071778658,1.0867700922009078,0.26302716227123896,1.0043752686676666,0.8164257731977542
3.406813627254509,30.168961387978065,1.0873257326792858,0.26310760751059825,1.004401691796625,0.8165269887234894
3.4268537074148293,30.77964846375353,1.0878819103286146,0.263188094580987,1.004428121492373,0.8166282541706353
3.44689378757515,31.402697208189828,1.0884386259195458,0.2632686235251066,1.0044545577601758,0.8167295695878081
3.4669338677354706,32.03835784903554,1.0889958802241237,0.26334919438572074,1.0044810006053049,0.8168309350236918
3.4869739478957915,32.68688567920714,1.0895536740157865,0.2634298072056556,1.0045074500330382,0.8169323505270384
3.507014028056112,33.3485411593191,1.0901120080693647,0.2635104620277996,1.00453390604866,0.8170338161466677
3.527054108216433,34.023590022289845,1.090670883161082,0.26359115889510365,1.004560368657461,0.8171353319314676
3.5470941883767533,34.71230338006474,1.0912303000685561,0.26367189785058104,1.0045868378647378,0.8172368979303937
3.567134268537074,35.41495783249976,1.0917902595707967,0.26375267893730725,1.004613313675794,0.8173385141924696
3.5871743486973946,36.131835578448914,1.0923507624482074,0.2638335021984204,1.004639796095939,0.8174401807667867
3.6072144288577155,36.86322452910056,1.0929118094825843,0.26391436767712073,1.0046662851304893,0.8175418977025045
3.627254509018036,37.6094184236077,1.0934734014571172,0.26399527541667106,1.0046927807847672,0.8176436650488501
3.6472945891783564,38.370716947059066,1.094035539156389,0.26407622546039644,1.004719283064101,0.8177454828551188
3.6673346693386772,39.14742585083809,1.094598223366375,0.2641572178516844,1.0047457919738263,0.8178473511706738
3.6873747494989977,39.93985707541819,1.0951614548744444,0.2642382526339847,1.0047723075192843,0.8179492700449458
3.7074148296593186,40.74832887564387,1.0957252344693593,0.2643193298508097,1.004798829705823,0.8180512395274337
3.727454909819639,41.57316594854755,1.0962895629412748,0.2644004495457339,1.0048253585387963,0.8181532596677046
3.74749498997996,42.41469956375394,1.0968544410817391,0.2644816117623943,1.0048518940235651,0.8182553305153929
3.7675350701402803,43.27326769652385,1.0974198696836936,0.2645628165444902,1.004878436165496,0.8183574521202012
3.787575150300601,44.149215163491355,1.0979858495414732,0.26464406393578344,1.0049049849699627,0.8184596245319
3.8076152304609217,45.042893761148285,1.098552381450805,0.26472535398009794,1.0049315404423445,0.8185618478003277
3.8276553106212425,45.95466240713232,1.0991194662088102,0.2648066867213203,1.004958102588027,0.8186641219753906
3.847695390781563,46.88488728437464,1.0996871046140027,0.2648880622033993,1.0049846714124033,0.8187664471070629
