t_cycles,F_pN,z_nm
0.4924623115577889,159.82729671832425,1.2805603865137115e-08
0.4974874371859296,159.986775014996,1.3063565043984977e-08
0.5025125628140703,159.986775014996,1.3325566190889579e-08
0.507537688442211,159.82729671832425,1.3591603278722902e-08
0.5125628140703516,159.5084990964152,1.3861668257243238e-08
0.5175879396984925,159.03069993367143,1.4135749061119849e-08
0.5226130653266331,158.3943755106894,1.4413829621959936e-08
0.5276381909547738,157.60016012949242,1.4695889884325979e-08
0.5326633165829145,156.6488454812449,1.4981905825727432e-08
0.5376884422110552,155.5413798570771,1.5271849480566857e-08
0.542713567839196,154.2788672028078,1.5565688968016643e-08
0.5477386934673366,152.86256601850752,1.5863388523798503e-08
0.5527638190954773,151.29388810399806,1.616490853583409e-08
0.5577889447236181,149.5743971515397,1.6470205583731188e-08
0.5628140703517588,147.7058071871086,1.6779232482066076e-08
0.5678391959798995,145.6899808618189,1.709193832741902e-08
0.5728643216080401,143.528927595191,1.740826854911587e-08
0.5778894472361809,141.224801572119,1.772816496362533e-08
0.5829145728643216,138.77989959553204,1.8051565832557547e-08
0.5879396984924623,136.19665879689117,1.8378405924206282e-08
0.5929648241206029,133.47765420680395,1.8708616578573305e-08
0.5979899497487436,130.62559618817787,1.9042125775810158e-08
0.6030150753768844,127.64332773447124,1.9378858208009116e-08
0.6080402010050251,124.53382163573619,1.9718735354271756e-08
0.6130653266331658,121.30017751527635,2.0061675558980273e-08
0.6180904522613064,117.94561873987517,2.0407594113193598e-08
0.6231155778894472,114.4734892066738,2.07564033390871e-08
0.6281407035175879,110.88725000990158,2.110801267735175e-08
0.6331658291457286,107.19047599078193,2.146232877746562e-08
0.6381909547738693,103.38685217405369,2.181925559074769e-08
0.64321608040201,99.48017009465686,2.2178694466101295e-08
0.6482412060301507,95.47432401824962,2.254054424835165e-08
0.6532663316582914,91.37330705931846,2.2904701379079547e-08
0.6582914572864321,87.18120720075565,2.3271059999850647e-08
0.6633165829145728,82.90220321886866,2.363951205773745e-08
0.6683417085427135,78.54056051788467,2.4009947413028807e-08
0.6733668341708542,74.10062687810374,2.438225394901959e-08
0.6783919597989949,69.58682812193595,2.4756317683771064e-08
0.6834170854271356,65.00366370214603,2.513202288373054e-08
0.6884422110552764,60.35570221670086,2.550925217909712e-08
0.693467336683417,55.64757685469112,2.5887886680818458e-08
0.6984924623115577,50.88398077786858,2.626780609910195e-08
0.7035175879396984,46.06966244239942,2.6648888863322218e-08
0.7085427135678392,41.20942086550065,2.703101224320536e-08
0.7135678391959799,36.30810084167513,2.741405247116915e-08
0.7185929648241205,31.370588113314515,2.7797884865697253e-08
0.7236180904522612,26.401804500486058,2.8182383955624477e-08
0.728643216080402,21.406702994754106,2.856742360520915e-08
0.7336683417085427,16.39026282193144,2.895287713986798e-08
0.7386934673366834,11.357484478678275,2.9338617472448047e-08
0.743718592964824,6.313384747897999,2.9724517229910012e-08
0.7487437185929647,1.2629916978998623,3.011044888029634e-08
0.7537688442211053,3.7886603296898453,3.049647620150739e-08
0.7587939698492462,8.836535738268733,3.088272666192549e-08
0.7638190954773869,13.875602695849526,3.126932750750295e-08
0.7688442211055275,18.90083815090145,3.1656405634920534e-08
0.7738693467336683,23.90723283943555,3.2044087465094095e-08
0.7788944723618089,28.889796278349113,3.243249881715545e-08
0.7839195979899497,33.843561740047456,3.282176478303312e-08
0.7889447236180904,38.76359120338502,3.3212009602758e-08
0.793969849246231,43.644980275994065,3.360335654061818e-08
0.7989949748743718,48.482863083088006,3.3995927762286416e-08
0.8040201005025124,53.27241711787228,3.4389844213042764e-08
0.8090452261306532,58.00886804872371,3.478522549721363e-08
0.8140703517587939,62.687494478347205,3.5182189758947656e-08
0.8190954773869346,67.30363265016895,3.558085356444699e-08
0.8241206030150753,71.85268109726888,3.598133178577161e-08
0.8291457286432161,76.33010522922405,3.6383737486332347e-08
0.8341708542713567,80.7314418522861,3.678818180818679e-08
0.8391959798994975,85.05230361839035,3.7194773861250515e-08
0.8442211055276381,89.28838339855986,3.760362061453389e-08
0.8492462311557788,93.43545857634506,3.801482678951309e-08
0.8542713567839196,97.48939525701948,3.842849475574143e-08
0.8592964824120602,101.4461523883362,3.884472442880515e-08
0.864321608040201,105.30178578873645,3.926361317072544e-08
0.8693467336683416,109.05245207899586,3.96852556929058e-08
0.8743718592964823,112.6944125133882,4.0109743961721685e-08
0.8793969849246231,116.22403670654826,4.053716710684641e-08
