t,g
-3.2565130260521045,2.3103640461532358
-3.2364729458917836,2.310481982185607
-3.2164328657314627,2.3105998894928415
-3.1963927855711423,2.310717768016048
-3.176352705410822,2.3108356176963345
-3.156312625250501,2.310953438474809
-3.1362725450901805,2.3110712302925793
-3.11623246492986,2.311188993090754
-3.096192384769539,2.311306726810441
-3.0761523046092183,2.3114244313927474
-3.056112224448898,2.311542106778783
-3.0360721442885774,2.3116597529096543
-3.0160320641282565,2.3117773697875696
-2.995991983967936,2.3118949575294407
-2.975951903807615,2.3120125160979845
-2.9559118236472948,2.312130045446066
-2.935871743486974,2.3122475455265494
-2.9158316633266534,2.3123650162922997
-2.8957915831663326,2.3124824576961815
-2.875751503006012,2.3125998696910592
-2.8557114228456917,2.312717252229798
-2.835671342685371,2.312834605265262
-2.8156312625250504,2.3129519287503157
-2.7955911823647295,2.3130692226378247
-2.775551102204409,2.313186486880652
-2.755511022044088,2.313303721431664
-2.7354709418837677,2.3134209262437246
-2.715430861723447,2.313538101269698
-2.6953907815631264,2.3136552464624494
-2.6753507014028055,2.313772361774843
-2.655310621242485,2.313889447159744
-2.6352705410821646,2.3140065025700163
-2.6152304609218437,2.3141235279585253
-2.5951903807615233,2.3142405232781353
-2.5751503006012024,2.314357488481711
-2.555110220440882,2.3144744235221166
-2.535070140280561,2.314591328352217
-2.5150300601202407,2.3147082029248773
-2.49498997995992,2.3148250471929614
-2.4749498997995993,2.3149418611093346
-2.4549098196392785,2.3150586446268613
-2.434869739478958,2.3151753976984057
-2.4148296593186376,2.3152921202768333
-2.3947895791583167,2.315408812315008
-2.3747494989979963,2.3155254737657947
-2.3547094188376754,2.3156421045820577
-2.334669338677355,2.3157587047166626
-2.314629258517034,2.315875274122473
-2.2945891783567136,2.3159918127523538
-2.2745490981963927,2.3161083205591697
-2.2545090180360723,2.3162247974957855
-2.2344689378757514,2.316341243515066
-2.214428857715431,2.316457658570151
-2.1943887775551105,2.3165740426281602
-2.1743486973947896,2.3166903956507667
-2.154308617234469,2.316806717591924
-2.1342685370741483,2.316923008405585
-2.114228456913828,2.317039268045704
-2.094188376753507,2.3171554964662344
-2.0741482965931866,2.3172716936211293
-2.0541082164328657,2.3173878594643424
-2.0340681362725452,2.317503993949827
-2.0140280561122244,2.3176200970315373
-1.993987975951904,2.3177361686634255
-1.9739478957915835,2.317852208799446
-1.9539078156312626,2.317968217393552
-1.9338677354709422,2.318084194399697
-1.9138276553106213,2.318200139771834
-1.8937875751503008,2.3183160534639176
-1.87374749498998,2.3184319354299
-1.8537074148296595,2.3185477856237355
-1.8336673346693386,2.3186636039993775
-1.8136272545090182,2.318779390510779
-1.7935871743486977,2.318895145111894
-1.7735470941883769,2.3190108677566754
-1.7535070140280564,2.3191265583990774
-1.7334669338677355,2.319242216993053
-1.713426853707415,2.319357843492555
-1.6933867735470942,2.3194734378515385
-1.6733466933867738,2.3195890000239556
-1.653306613226453,2.3197045299637606
-1.6332665330661325,2.3198200276249064
-1.6132264529058116,2.3199354929613465
-1.5931863727454911,2.3200509259270348
-1.5731462925851707,2.3201663264759245
-1.5531062124248498,2.320281694561969
-1.5330661322645294,2.320397030139122
-1.5130260521042085,2.3205123331613366
-1.492985971943888,2.320627603582567
-1.4729458917835672,2.3207428413567657
-1.4529058116232467,2.3208580464378867
-1.4328657314629258,2.3209732187798835
-1.4128256513026054,2.3210883583367097
-1.3927855711422845,2.321203465070917
-1.372745490981964,2.3213185389722977
-1.3527054108216436,2.321433580000745
-1.3326653306613228,2.3215485881125146
-1.3126252505010023,2.321663563263862
-1.2925851703406814,2.321778505411043
-1.272545090180361,2.3218934145103134
-1.25250501002004,2.322008290517929
-1.2324649298597197,2.3221231333901464
-1.2124248496993988,2.32223794308322
-1.1923847695390783,2.3223527195534066
-1.1723446893787575,2.3224674627569613
-1.152304609218437,2.32258217265014
-1.1322645290581166,2.322696849189199
-1.1122244488977957,2.322811492330394
-1.0921843687374753,2.3229261020299803
-1.0721442885771544,2.323040678244214
-1.052104208416834,2.3231552209293507
-1.032064128256513,2.3232697300416465
-1.0120240480961926,2.323384205537357
-0.9919839679358722,2.323498647372738
-0.9719438877755513,2.323613055504045
-0.9519038076152304,2.3237274298875343
-0.9318637274549104,2.3238417704794614
-0.9118236472945895,2.323956077236082
-0.8917835671342687,2.3240703501136517
-0.8717434869739478,2.324184589068427
-0.8517034068136278,2.3242987940566633
-0.8316633266533069,2.3244129650346164
-0.811623246492986,2.324527101958542
-0.7915831663326651,2.3246412047846956
-0.7715430861723451,2.3247552734693335
-0.7515030060120242,2.324869307968711
-0.7314629258517034,2.3249833082390845
-0.7114228456913834,2.3250972742367098
-0.6913827655310625,2.325211205917842
-0.6713426853707416,2.325325103238737
-0.6513026052104207,2.325438966155651
-0.6312625250501007,2.3255527946248398
-0.6112224448897798,2.3256665886025587
-0.591182364729459,2.325780354645865
-0.5711422845691381,2.3258940789083784
-0.5511022044088181,2.3260077686450282
-0.5310621242484972,2.3261214238121624
-0.5110220440881763,2.3262350443661854
-0.4909819639278563,2.3263486302635634
-0.47094188376753543,2.3264621814608195
-0.45090180360721455,2.3265756979145356
-0.43086172344689366,2.326689179581354
-0.41082164328657367,2.3268026264179738
-0.3907815631262528,2.326916038381155
-0.3707414829659319,2.327029415427715
-0.350701402805611,2.32714275751453
-0.330661322645291,2.327256064598537
-0.31062124248497014,2.3273693366367296
-0.29058116232464926,2.327482573586161
-0.27054108216432926,2.327595775403944
-0.2505010020040084,2.327708942047249
-0.2304609218436875,2.327822073473306
-0.2104208416833666,2.3279351696394044
-0.19038076152304662,2.3280482305028913
-0.17034068136272573,2.3281612560211733
-0.15030060120240485,2.3282742461517154
-0.13026052104208397,2.3283872008520428
-0.11022044088176397,2.3285001200797373
-0.09018036072144309,2.3286130037924417
-0.0701402805611222,2.3287258519478566
-0.05010020040080221,2.328838664503742
-0.030060120240481325,2.3289514414179155
-0.010020040080160442,2.329064182648255
0.010020040080160442,2.329176888152697
0.030060120240480437,2.329289557889236
0.05010020040080132,2.3294021918159262
0.0701402805611222,2.329514789890881
0.09018036072144309,2.329627352072271
0.11022044088176308,2.329739878318327
0.13026052104208397,2.329852368587339
0.15030060120240485,2.329964822837655
0.17034068136272484,2.3300772410276815
0.19038076152304573,2.3301896231158854
0.2104208416833666,2.3303019690607907
0.2304609218436875,2.3304142788265927
0.2505010020040075,2.3305265524067598
0.2705410821643284,2.330638789767407
0.29058116232464926,2.3307509908690123
0.31062124248497014,2.3308631556721333
0.33066132264529013,2.330975284137406
0.350701402805611,2.331087376225548
0.3707414829659319,2.331199431897354
0.3907815631262519,2.3313114511137
