Event,M_final,chi_final,SNR,Catalog,Type,tau_ms,f_QNM_Hz,log_M,log_tau,spin_factor,tau_corrected,log_tau_corr,residual_log
GW190521,142.0,0.72,14.7,GWTC-2,BBH,2.806897786853354,123.71538406507686,2.1522883443830563,0.4482265980944326,1.7732864105439692,1.5828789811750243,0.19944771219843133,0.09898251450714429
GW190521_074359,86.5,0.77,25.0,GWTC-2,BBH,1.8154056880914344,212.2920941964577,1.9370161074648145,0.2589736918578998,1.937414178945512,0.9370250862309246,-0.028248781934183394,0.12500184518885332
GW190527_092055,56.0,0.72,8.3,GWTC-2,BBH,1.106945606083013,313.7068667364449,1.7481880270062005,0.0441262807175766,1.7732864105439692,0.6242339644070519,-0.2046526051784247,0.0989825145071441
GW190602_175927,92.0,0.69,12.1,GWTC-2,BBH,1.761609715419197,186.38991281192756,1.9637878273455556,0.2459096968032621,1.6938979318613736,1.0399739454687313,0.01702245902868486,0.0851661302534745
GW190620_030421,86.0,0.77,11.1,GWTC-2,BBH,1.804912013593796,213.526350558065,1.934498451243568,0.2564560356366533,1.937414178945512,0.9316087562527111,-0.030766438155429926,0.12500184518885338
GW190630_185205,60.5,0.73,15.6,GWTC-2,BBH,1.2094065077957925,292.83003826520894,1.7817553746524688,0.0825723012074107,1.802545790959476,0.6709435698452011,-0.17331400492104487,0.10386118735070986
GW190701_203306,81.5,0.77,10.3,GWTC-2,BBH,1.7104689431150508,225.3161490551361,1.9111576087399769,0.2331151931330622,1.937414178945512,0.8828617864487902,-0.05410728065902102,0.1250018451888533
GW190706_222641,93.0,0.81,12.5,GWTC-2,BBH,2.064583724075971,205.55864656438516,1.968482948553935,0.314832499304169,2.1113531453789465,0.9778486032024826,-0.009728380267058013,0.14939381154600195
GW190707_093326,20.4,0.67,12.4,GWTC-2,BBH,0.3829550473591451,827.8094293092688,1.3096301674258988,-0.4168522020878964,1.6469056787461207,0.23253004243127615,-0.6335209291428471,0.07656189128197277
GW190708_232457,27.2,0.68,13.1,GWTC-2,BBH,0.5156232855238412,625.58158984379,1.434568904034199,-0.2876674781569534,1.6698694127861489,0.30878060378597655,-0.5103499879129958,0.08080787860461563
GW190719_215514,54.0,0.71,8.1,GWTC-2,BBH,1.0558336824940655,322.6574901275933,1.7323937598229686,0.0235955124555995,1.7455042112643149,0.6048875022359855,-0.2183253884898703,0.09424601342839885
GW190720_000836,21.8,0.68,10.1,GWTC-2,BBH,0.4132568979566081,780.5421671445451,1.3384564936046048,-0.3837798885865472,1.6698694127861489,0.24747857215199598,-0.6064623983425896,0.08080787860461591
GW190727_060333,60.0,0.74,11.3,GWTC-2,BBH,1.2133844835516865,297.8287256897689,1.7781512503836436,0.0839984369975402,1.8334201217477202,0.6618147521993047,-0.17926355641559158,0.10889144740966453
GW190728_064510,20.1,0.68,12.0,GWTC-2,BBH,0.381030442611368,846.5581713308998,1.3031960574204888,-0.4190403247706632,1.6698694127861489,0.22817978441537243,-0.6417228345267055,0.08080787860461591
GW190731_140936,60.5,0.73,8.5,GWTC-2,BBH,1.2094065077957925,292.83003826520894,1.7817553746524688,0.0825723012074107,1.802545790959476,0.6709435698452011,-0.17331400492104487,0.10386118735070986
GW190803_022701,55.5,0.71,8.9,GWTC-2,BBH,1.0851623958966783,313.9370174214422,1.7442929831226763,0.0354947357553072,1.7455042112643149,0.6216899328536517,-0.20642616519016263,0.09424601342839883
GW190828_063405,57.0,0.72,16.2,GWTC-2,BBH,1.1267124919059237,308.2032374954547,1.7558748556724917,0.0518131093838675,1.7732864105439692,0.6353809994857492,-0.19696577651213376,0.09898251450714378
GW190828_065509,35.8,0.67,10.4,GWTC-2,BBH,0.6720485635028136,471.7126356957844,1.5538830266438743,-0.1725993428699207,1.6469056787461207,0.4080674274039063,-0.3892680699248714,0.07656189128197291
GW190910_112807,66.0,0.73,13.0,GWTC-2,BBH,1.319352553959046,268.4275350764416,1.8195439355418688,0.1203608620968105,1.802545790959476,0.7319384398311284,-0.13552544403164515,0.10386118735070969
GW190915_235702,53.5,0.71,13.2,GWTC-2,BBH,1.0460574446931945,325.67298068953346,1.7283537820212285,0.0195555346538594,1.7455042112643149,0.5992866920300968,-0.22236536629161036,0.09424601342839889
GW190924_021846,13.9,0.67,10.5,GWTC-2,BBH,0.2609350567790254,1214.9145581229554,1.1430148002540952,-0.5834675692597,1.6469056787461207,0.15843958773503625,-0.8001362963146507,0.07656189128197277
GW190929_012149,66.0,0.73,10.1,GWTC-2,BBH,1.319352553959046,268.4275350764416,1.8195439355418688,0.1203608620968105,1.802545790959476,0.7319384398311284,-0.13552544403164515,0.10386118735070969
GW190930_133541,20.2,0.67,10.0,GWTC-2,BBH,0.3792005861105261,836.0055622727268,1.3053513694466237,-0.4211310000671713,1.6469056787461207,0.23025033613293033,-0.6377997271221221,0.076561891281973
GW191103_012549,21.0,0.68,8.3,GWTC-3,BBH,0.3980915072059068,810.2771068452898,1.3222192947339193,-0.4000170874572328,1.6698694127861489,0.2383967896877025,-0.6226995972132753,0.08080787860461586
GW191105_143521,21.5,0.68,10.8,GWTC-3,BBH,0.407569876425095,791.4334531977248,1.3324384599156054,-0.3897979222755468,1.6698694127861489,0.24407290372788587,-0.6124804320315892,0.08080787860461575
GW191109_010717,90.0,0.89,17.2,GWTC-3,BBH,2.3197360060280348,235.25609693116732,1.954242509439325,0.3654385634905204,2.7000592330474684,0.85914263570056,-0.06593472818827832,0.21424031484696338
GW191127_050227,66.0,0.73,8.9,GWTC-3,BBH,1.319352553959046,268.4275350764416,1.8195439355418688,0.1203608620968105,1.802545790959476,0.7319384398311284,-0.13552544403164515,0.10386118735070969
GW191129_134029,19.3,0.68,12.6,GWTC-3,BBH,0.3658650518606668,881.6486654793308,1.285557309007774,-0.4366790731833782,1.6698694127861489,0.219098001951079,-0.6593615829394207,0.08080787860461569
GW191204_171526,21.9,0.68,16.0,GWTC-3,BBH,0.4151525718004457,776.978047659867,1.3404441148401185,-0.3817922673510337,1.6698694127861489,0.2486137949600326,-0.6044747771070762,0.08080787860461575
GW191215_223052,46.5,0.71,10.5,GWTC-3,BBH,0.9091901154810008,374.6990207933342,1.667452952889954,-0.041345294477415,1.7455042112643149,0.5208753491476542,-0.2832661954228849,0.09424601342839897
GW191216_213338,21.2,0.74,18.0,GWTC-3,BBH,0.4287291841882625,842.9114878012327,1.3263358609287514,-0.3678169524573519,1.8334201217477202,0.2338412124437543,-0.6310789458704839,0.10889144740966461
GW191222_033537,66.0,0.72,9.5,GWTC-3,BBH,1.3046144643121222,266.175523291529,1.8195439355418688,0.1154821892532448,1.7732864105439692,0.7357043151940255,-0.13329669664275645,0.09898251450714399
GW191230_180458,66.0,0.73,9.1,GWTC-3,BBH,1.319352553959046,268.4275350764416,1.8195439355418688,0.1203608620968105,1.802545790959476,0.7319384398311284,-0.13552544403164515,0.10386118735070969
GW200112_155838,52.0,0.72,18.5,GWTC-3,BBH,1.0278780627913693,337.83816417770987,1.7160033436347992,0.0119415973461754,1.7732864105439692,0.5796458240922626,-0.23683728854982586,0.09898251450714414
GW200128_022011,51.0,0.72,10.5,GWTC-3,BBH,1.0081111769684583,344.4624419066846,1.7075701760979365,0.0035084298093126,1.7732864105439692,0.5684987890135652,-0.2452704560866887,0.09898251450714407
GW200129_065458,59.0,0.73,26.8,GWTC-3,BBH,1.1794212224785414,300.2748697465278,1.7708520116421442,0.0716689381970861,1.802545790959476,0.6543086053035846,-0.18421736793136956,0.10386118735070983
GW200202_154313,19.6,0.67,11.8,GWTC-3,BBH,0.367937202364669,861.5975692810755,1.292256071356476,-0.434226298157319,1.6469056787461207,0.22341121723789287,-0.6508950252122696,0.07656189128197305
GW200208_130117,58.0,0.72,12.5,GWTC-3,BBH,1.146479377728835,302.8893885731192,1.7634279935629371,0.0593662472743135,1.7732864105439692,0.6465280345644467,-0.18941263862168775,0.09898251450714435
