time_s,delta_signal,theta_signal,alpha_signal,beta_signal,gamma_signal
1.559,0.22467800791619735,0.2752041199951296,-0.3496692133841711,-0.33592434441641134,0.23884544688638393
1.56,0.1974999926581254,0.16905036340545146,-0.2590348562628506,-0.3471004990980418,0.04353504009716254
1.561,0.24354464133687667,0.20557581762689928,-0.23378368805402205,-0.3530618504706669,-0.045517342466823235
1.562,0.21133974073382725,0.27015754459487223,-0.10368577225459315,-0.5317428451849802,-0.17408711708233893
1.563,0.0827538715089675,0.3180733980191007,-0.19199985149460683,-0.3946882564891138,-0.457001501489919
1.564,0.27079042790884994,0.14996259519533078,-0.21807230868391178,-0.13128889811973632,-0.3147669061719348
1.565,-0.016197405146269245,0.24133839415112687,-0.12902342387305946,-0.49631510372244525,-0.3366534030928212
1.566,0.2318887275762181,0.23627523792300537,0.08499209583437992,-0.10157864465889155,-0.4463559343750704
1.567,0.04675181889885652,0.342782405228301,-0.24775544960070633,-0.21170000373754477,-0.22750089364778453
1.568,0.2271056892164644,0.0664911935961694,0.04458450376081194,-0.3541635888848477,-0.31680891064634786
1.569,0.07858013730482094,0.040087553532470066,0.03983346674256593,-0.27259139140978345,-0.34375583583381536
1.57,0.20560659463331493,0.2843846267063074,0.12615401492170586,-0.45253287534790526,-0.2324062127683997
1.571,0.1473240773311376,0.17494393593034657,0.19027166311140747,-0.011919461226402639,-0.12463553822407863
1.572,0.08888347351493565,0.36184906047034004,0.2797054977587524,-0.016555883157287607,0.08972085824155004
1.573,0.21590951019634655,0.001440132507367381,0.2967430028052656,0.0014378584903307415,0.32614117967178935
1.574,0.06773252721485709,0.27640112695409147,0.01084242974493177,-0.11030392518262475,0.4339744214482137
1.575,0.14535363873338625,0.23141915493751525,0.028723743977917965,0.009840007461492675,0.6625810456391514
1.576,0.14843553223837858,0.10936724495244877,0.22253822939314796,0.21599137104523183,0.5996151755548291
1.577,0.3209164879820472,0.20016110578882176,0.34806898940532177,0.3645436934848152,0.7970397633688118
1.578,0.2239543139579961,0.17747954373223715,0.22211707174662826,0.2696043471050858,0.4058267497333989
1.579,0.1629995918197893,0.14740686102678996,0.4315445832513262,0.47307858781904794,0.13088673220568617
1.58,0.3652506046178414,0.05653629754222657,0.2044489379690439,0.39741137389426273,-0.11436598475116226
1.581,0.10103670776081691,0.1666854606202663,0.5077472096465214,0.5853792574751016,-0.3999384086810502
1.582,0.15661258698677755,0.21483038284648015,0.3893497845307893,0.5170329181216358,-0.5928156701982188
1.583,0.19719469834658393,0.2052226160641184,0.2893490908939717,0.5394129696860128,-0.7425919701139334
1.584,0.0500879455107061,0.04160899385196466,0.4445071333348783,0.6190711313345717,-0.6767786055313446
1.585,0.15875815021349152,0.06811790402972212,0.4019430683798581,0.6890103680579738,-0.6236203305378144
1.586,-0.03103965795692315,0.30887803177209616,0.24387418175488476,0.4866215926958553,-0.16355582953478187
1.587,0.28698280045857283,0.22708101625233199,0.24260203901689942,0.6656579844920747,0.024809947635910268
1.588,0.08590979915069041,0.11894542805626357,0.3960177250591465,0.347761073351462,0.3715470620144111
1.589,-0.12380950330160556,0.10497808360418624,0.2429345045056971,0.632157520052443,0.33108538350720695
1.59,0.1709536279897581,0.061042282911485134,0.40255814241962096,0.4175638570300639,0.48146628692162186
1.591,0.23625284297471866,0.11975353200084461,0.3685768027363713,0.40149275965274145,0.16475949215975544
1.592,0.12451178732906626,-0.05779755914226346,0.264191089210176,0.4255375603386295,0.23358268088015222
1.593,0.0037902808038709768,-0.057053748517346764,0.5636305749338002,0.26549270778725553,0.32122585108227786
1.594,0.09219082170487225,-0.12448543930899093,0.26562220743414466,0.31519672073714566,0.10925227080067525
1.595,0.07925814704660386,0.014452873794897132,0.3687601045499924,0.3688278999501039,0.10328451593750906
1.596,0.08603098282863855,0.08472771068330398,0.34498404984395364,0.18941496648241712,0.19402010030668115
1.597,0.07001441985555597,-0.10534065344800206,0.32466927098274867,-0.16018544383975292,0.23047707474672607
1.598,0.1320164953222439,-0.032672933049374714,0.44996981161924915,-0.21164606224466334,0.24249306933043427
1.599,0.01761580205678627,-0.140372315295225,0.5046632304008314,-0.374379530534238,0.06746206671398
1.6,0.14631235428401435,0.10687898116664848,0.44920992297638007,-0.6521103768827621,-0.012215726870025763
1.601,0.1756510265034761,-0.24916814272667415,0.26615176631738163,-0.49390444010810686,-0.4592012199758664
1.602,0.16767136912943645,-0.05077267669182897,0.4855799215813938,-0.4411620517099216,-0.39101530386028094
1.603,0.18764219436711543,-0.0471660770159608,0.4613752101924835,-0.6121640358583889,-0.7210995169224217
1.604,0.038984630655669206,-0.0656785717105841,0.42846505369307475,-0.7814099139618281,-0.35716511826101516
