time,alpha_fused,se_fused,I2,tau2,passes_gate,n_layers,baseline,baseline_std,z_score,alert
26,1.7704819051059195,0.29034652211464373,0.987256243057874,0.3317064629456435,False,4,1.7738705372861474,0.06646054784643156,-0.05098712379046143,NORMAL
27,1.7187606889227707,0.3165498805976086,0.9830222943240786,0.39477739077889673,False,4,1.7713900593660452,0.06815848381448793,-0.7721616957695223,NORMAL
28,1.7444439158479024,0.40899800752791127,0.9924576242550482,0.49848590201752624,False,3,1.7749469445409987,0.06540613795416461,-0.4663633971856317,NORMAL
29,1.6617341924433693,0.1340879144836241,0.9438019233620625,0.05082094368179338,False,3,1.77111626942517,0.07115018816331545,-1.5373406565099916,ADVISORY
30,1.8848652568426305,0.4118249571487923,0.9932779015335907,0.5018887416369675,False,3,1.7885113971330369,0.07590180444304538,1.2694541377062376,NORMAL
31,1.752601445108094,0.27173237247515103,0.9884932901590923,0.29138461800857374,False,4,1.776235781631307,0.06999215002029681,-0.3376712462234602,NORMAL
32,1.81159228806207,0.24855728402935498,0.9852402894310504,0.2429627170423926,False,4,1.7809573314985745,0.0706923114620895,0.433356272130447,NORMAL
33,1.584300740476887,0.24051781624761615,0.9765166598334196,0.22563749866419996,False,4,1.7543498587348452,0.08928853797974295,-1.9044898942856199,ADVISORY
34,1.6548966376119059,0.26771103020719145,0.9865065003782385,0.28326264856959465,False,4,1.744890966031802,0.09470689430147272,-0.9502405192743886,NORMAL
35,1.7418340945413062,0.27359794740541893,0.9905811089311829,0.295657641455596,False,4,1.7325511164962855,0.08480636874499244,0.10946085986695303,NORMAL
36,1.9713015180657387,0.38489746621987114,0.9930392445473784,0.4414603053743485,False,3,1.7526330777922674,0.11365603051287791,1.9239492993615932,NORMAL
37,1.6450935470660208,0.2740396039770078,0.9864489691709661,0.2965418062028793,False,4,1.7452663636065924,0.11838448031245889,-0.8461651077588863,NORMAL
38,1.7653859946433275,0.3239334758263689,0.9900352391943206,0.41510665696718985,False,4,1.7473605714861349,0.11855342568552979,0.15204472627392576,NORMAL
39,1.7248096045044985,0.2937314566735345,0.9834485429166833,0.338975430632541,False,4,1.7536681126922478,0.11511976914845075,-0.2506824709710394,NORMAL
40,1.6528099142786954,0.2655822106139503,0.9864634598673001,0.2781601083618169,False,4,1.7304625784358543,0.108958589785242,-0.7126805175270047,NORMAL
41,1.7857169234437296,0.26418788837951,0.9821012064706405,0.27396751643567696,False,4,1.733774126269418,0.11020234839506024,0.47134020218973766,NORMAL
